map	estimate	variance	sdm_z
<i>&beta;</i><sub>0</sub>	0.187635	NA	NA
Hedges' <i>g</i>	0.088000	0.001104	2.649532
uncorrp	0.995479	NA	NA
uncorrp_neg	0.004521	NA	NA
Adult_minus_Older_good_<i>&tau;</i><sup>2</sup>	0.001350	NA	NA
Adult_minus_Older_good_<i>H</i><sup>2</sup>	1.026498	NA	NA
Adult_minus_Older_good_<i>I</i><sup>2</sup>	2.525472	NA	NA
Adult_minus_Older_good_<i>Q</i><sup>2</sup>	79.874718	NA	-1.507629
Zhu2010_adults_I00000	0.203910	0.047546	NA
Zhu2010_adults_I00001	0.189499	0.047412	NA
Zhu2010_adults_I00002	0.251626	0.047854	NA
Zhu2010_adults_I00003	0.207942	0.047554	NA
Zhu2010_adults_I00004	0.122332	0.046930	NA
Zhu2010_adults_I00005	0.287974	0.048020	NA
Zhu2010_adults_I00006	0.026449	0.046249	NA
Zhu2010_adults_I00007	0.166806	0.047242	NA
Zhu2010_adults_I00008	0.174821	0.047321	NA
Zhu2010_adults_I00009	0.121556	0.046935	NA
Zhu2010_adults_I00010	0.214934	0.047592	NA
Zhu2010_adults_I00011	0.312782	0.048372	NA
Zhu2010_adults_I00012	0.066906	0.046730	NA
Zhu2010_adults_I00013	0.264417	0.047849	NA
Zhu2010_adults_I00014	-0.026665	0.046117	NA
Zhu2010_adults_I00015	0.197202	0.047424	NA
Zhu2010_adults_I00016	0.082387	0.046540	NA
Zhu2010_adults_I00017	0.234847	0.047712	NA
Zhu2010_adults_I00018	0.289994	0.048037	NA
Zhu2010_adults_I00019	0.241132	0.047596	NA
Zhu2010_adults_I00020	0.165803	0.047290	NA
Zhu2010_adults_I00021	0.134989	0.046935	NA
Zhu2010_adults_I00022	0.269524	0.047993	NA
Zhu2010_adults_I00023	0.166896	0.047196	NA
Zhu2010_adults_I00024	0.117636	0.047013	NA
Zhu2010_adults_I00025	0.243415	0.047864	NA
Zhu2010_adults_I00026	0.353116	0.048769	NA
Zhu2010_adults_I00027	0.237772	0.047794	NA
Zhu2010_adults_I00028	0.123784	0.047054	NA
Zhu2010_adults_I00029	0.253278	0.047736	NA
Zhu2010_adults_I00030	0.231188	0.047693	NA
Zhu2010_adults_I00031	0.096542	0.046679	NA
Zhu2010_adults_I00032	0.267051	0.047834	NA
Zhu2010_adults_I00033	0.208310	0.047482	NA
Zhu2010_adults_I00034	0.280463	0.048081	NA
Zhu2010_adults_I00035	0.288617	0.048226	NA
Zhu2010_adults_I00036	0.164580	0.047291	NA
Zhu2010_adults_I00037	0.186504	0.047421	NA
Zhu2010_adults_I00038	0.290534	0.048008	NA
Zhu2010_adults_I00039	0.310220	0.048300	NA
Zhu2010_adults_I00040	0.238807	0.047612	NA
Zhu2010_adults_I00041	0.288401	0.048067	NA
Zhu2010_adults_I00042	0.261392	0.047886	NA
Zhu2010_adults_I00043	0.253599	0.047876	NA
Zhu2010_adults_I00044	0.106964	0.046876	NA
Zhu2010_adults_I00045	0.089181	0.046816	NA
Zhu2010_adults_I00046	0.051553	0.046448	NA
Zhu2010_adults_I00047	0.207280	0.047610	NA
Zhu2010_adults_I00048	0.185401	0.047386	NA
Zhu2010_adults_I00049	0.170404	0.047232	NA
Mitchell2010_adults_I00000	0.216266	0.037247	NA
Mitchell2010_adults_I00001	0.278934	0.037608	NA
Mitchell2010_adults_I00002	0.173373	0.036989	NA
Mitchell2010_adults_I00003	0.243272	0.037337	NA
Mitchell2010_adults_I00004	0.297690	0.037804	NA
Mitchell2010_adults_I00005	0.280829	0.037735	NA
Mitchell2010_adults_I00006	0.282126	0.037640	NA
Mitchell2010_adults_I00007	0.106990	0.036627	NA
Mitchell2010_adults_I00008	0.205969	0.037211	NA
Mitchell2010_adults_I00009	0.080935	0.036532	NA
Mitchell2010_adults_I00010	0.174740	0.037058	NA
Mitchell2010_adults_I00011	0.146421	0.036807	NA
Mitchell2010_adults_I00012	0.019881	0.036117	NA
Mitchell2010_adults_I00013	0.279582	0.037659	NA
Mitchell2010_adults_I00014	0.243884	0.037483	NA
Mitchell2010_adults_I00015	0.228833	0.037367	NA
Mitchell2010_adults_I00016	0.067986	0.036488	NA
Mitchell2010_adults_I00017	0.145655	0.036867	NA
Mitchell2010_adults_I00018	0.219176	0.037335	NA
Mitchell2010_adults_I00019	0.310735	0.037965	NA
Mitchell2010_adults_I00020	0.220044	0.037218	NA
