map	estimate	variance	sdm_z
<i>&beta;</i><sub>0</sub>	0.095673	NA	NA
Hedges' <i>g</i>	0.050311	0.000469	2.323834
uncorrp	0.989785	NA	NA
uncorrp_neg	0.010215	NA	NA
MyLinearModel_<i>&tau;</i><sup>2</sup>	0.000002	NA	NA
MyLinearModel_<i>H</i><sup>2</sup>	1.000047	NA	NA
MyLinearModel_<i>I</i><sup>2</sup>	0.004701	NA	NA
MyLinearModel_<i>Q</i><sup>2</sup>	107.452271	NA	-1.644250
corrp_voxel	0.996600	NA	NA
corrp_voxel_neg	0.000000	NA	NA
corrp_tfce	0.990600	NA	NA
corrp_tfce_neg	0.000000	NA	NA
Andrews-Hanna2011_children_I00000	-0.035313	0.031729	NA
Andrews-Hanna2011_children_I00001	0.051055	0.031768	NA
Andrews-Hanna2011_children_I00002	-0.021360	0.031677	NA
Andrews-Hanna2011_children_I00003	0.004937	0.031739	NA
Andrews-Hanna2011_children_I00004	0.111550	0.031767	NA
Andrews-Hanna2011_children_I00005	-0.025927	0.031730	NA
Andrews-Hanna2011_children_I00006	-0.091425	0.031717	NA
Andrews-Hanna2011_children_I00007	-0.001011	0.031734	NA
Andrews-Hanna2011_children_I00008	-0.067758	0.031669	NA
Andrews-Hanna2011_children_I00009	0.010411	0.031694	NA
Andrews-Hanna2011_children_I00010	-0.087070	0.031685	NA
Andrews-Hanna2011_children_I00011	0.036676	0.031751	NA
Andrews-Hanna2011_children_I00012	0.038349	0.031732	NA
Andrews-Hanna2011_children_I00013	0.040301	0.031781	NA
Andrews-Hanna2011_children_I00014	-0.015758	0.031721	NA
Andrews-Hanna2011_children_I00015	0.151490	0.031827	NA
Andrews-Hanna2011_children_I00016	0.069403	0.031801	NA
Andrews-Hanna2011_children_I00017	0.038959	0.031764	NA
Andrews-Hanna2011_children_I00018	-0.009945	0.031716	NA
Andrews-Hanna2011_children_I00019	0.082678	0.031788	NA
Andrews-Hanna2011_children_I00020	0.134060	0.031875	NA
Andrews-Hanna2011_children_I00021	0.002798	0.031714	NA
Andrews-Hanna2011_children_I00022	0.008532	0.031737	NA
Andrews-Hanna2011_children_I00023	0.073362	0.031728	NA
Andrews-Hanna2011_children_I00024	0.050211	0.031755	NA
Andrews-Hanna2011_children_I00025	0.156971	0.031843	NA
Andrews-Hanna2011_children_I00026	0.119698	0.031841	NA
Andrews-Hanna2011_children_I00027	0.025916	0.031744	NA
Andrews-Hanna2011_children_I00028	-0.052562	0.031719	NA
