map	estimate	variance	sdm_z
<i>&beta;</i><sub>0</sub>	0.141081	NA	NA
Hedges' <i>g</i>	0.010742	0.000657	0.413785
uncorrp	0.659558	NA	NA
uncorrp_neg	0.340442	NA	NA
MyLinearModel_<i>&tau;</i><sup>2</sup>	0.005741	NA	NA
MyLinearModel_<i>H</i><sup>2</sup>	1.142905	NA	NA
MyLinearModel_<i>I</i><sup>2</sup>	10.960804	NA	NA
MyLinearModel_<i>Q</i><sup>2</sup>	117.680504	NA	-0.975551
corrp_voxel	0.000000	NA	NA
corrp_voxel_neg	0.000000	NA	NA
corrp_tfce	0.000050	NA	NA
corrp_tfce_neg	0.000000	NA	NA
Andrews-Hanna2011_children_I00000	0.253287	0.032348	NA
Andrews-Hanna2011_children_I00001	0.201103	0.032040	NA
Andrews-Hanna2011_children_I00002	0.243192	0.032266	NA
Andrews-Hanna2011_children_I00003	-0.076303	0.031458	NA
Andrews-Hanna2011_children_I00004	-0.108886	0.031458	NA
Andrews-Hanna2011_children_I00005	-0.102181	0.031533	NA
Andrews-Hanna2011_children_I00006	0.248008	0.032306	NA
Andrews-Hanna2011_children_I00007	0.244522	0.032369	NA
Andrews-Hanna2011_children_I00008	-0.087402	0.031484	NA
Andrews-Hanna2011_children_I00009	0.258738	0.032396	NA
Andrews-Hanna2011_children_I00010	-0.103739	0.031440	NA
Andrews-Hanna2011_children_I00011	0.264242	0.032445	NA
Andrews-Hanna2011_children_I00012	0.213684	0.032139	NA
Andrews-Hanna2011_children_I00013	-0.094346	0.031407	NA
Andrews-Hanna2011_children_I00014	0.248866	0.032415	NA
Andrews-Hanna2011_children_I00015	-0.097812	0.031514	NA
Andrews-Hanna2011_children_I00016	0.251428	0.032331	NA
Andrews-Hanna2011_children_I00017	0.250760	0.032330	NA
Andrews-Hanna2011_children_I00018	0.261995	0.032428	NA
Andrews-Hanna2011_children_I00019	0.231451	0.032267	NA
Andrews-Hanna2011_children_I00020	0.251760	0.032334	NA
Andrews-Hanna2011_children_I00021	0.280633	0.032599	NA
Andrews-Hanna2011_children_I00022	0.246363	0.032290	NA
Andrews-Hanna2011_children_I00023	0.253485	0.032349	NA
Andrews-Hanna2011_children_I00024	0.243855	0.032269	NA
Andrews-Hanna2011_children_I00025	0.256991	0.032390	NA
Andrews-Hanna2011_children_I00026	0.246974	0.032295	NA
Andrews-Hanna2011_children_I00027	0.260264	0.032412	NA
Andrews-Hanna2011_children_I00028	-0.086456	0.031487	NA
Andrews-Hanna2011_children_I00029	0.246900	0.032293	NA
Andrews-Hanna2011_children_I00030	0.248937	0.032405	NA
Andrews-Hanna2011_children_I00031	0.246146	0.032287	NA
Andrews-Hanna2011_children_I00032	0.240198	0.032239	NA
Andrews-Hanna2011_children_I00033	0.220004	0.032175	NA
Andrews-Hanna2011_children_I00034	0.229851	0.032154	NA
Andrews-Hanna2011_children_I00035	-0.110034	0.031461	NA
Andrews-Hanna2011_children_I00036	-0.118974	0.031497	NA
Andrews-Hanna2011_children_I00037	-0.086673	0.031479	NA
Andrews-Hanna2011_children_I00038	0.244783	0.032383	NA
Andrews-Hanna2011_children_I00039	-0.077287	0.031453	NA
Andrews-Hanna2011_children_I00040	0.252267	0.032339	NA
Andrews-Hanna2011_children_I00041	0.239593	0.032340	NA
Andrews-Hanna2011_children_I00042	-0.112276	0.031469	NA
Andrews-Hanna2011_children_I00043	-0.095558	0.031506	NA
Andrews-Hanna2011_children_I00044	0.251744	0.032333	NA
Andrews-Hanna2011_children_I00045	0.213261	0.032028	NA
Andrews-Hanna2011_children_I00046	-0.096668	0.031519	NA
Andrews-Hanna2011_children_I00047	0.233308	0.032287	NA
