map	estimate	variance	sdm_z
<i>&beta;</i><sub>0</sub>	0.301078	NA	NA
Hedges' <i>g</i>	0.234077	0.002094	5.115240
uncorrp	1.000000	NA	NA
uncorrp_neg	0.000000	NA	NA
MyLinearModel_Adult_minus_ChildOld_<i>&tau;</i><sup>2</sup>	0.000452	NA	NA
MyLinearModel_Adult_minus_ChildOld_<i>H</i><sup>2</sup>	1.010585	NA	NA
MyLinearModel_Adult_minus_ChildOld_<i>I</i><sup>2</sup>	1.047394	NA	NA
MyLinearModel_Adult_minus_ChildOld_<i>Q</i><sup>2</sup>	67.079285	NA	-3.415476
corrp_voxel	0.999000	NA	NA
corrp_voxel_neg	0.000000	NA	NA
corrp_tfce	0.837000	NA	NA
corrp_tfce_neg	0.732000	NA	NA
Andrews-Hanna2011_children_I00000	-0.055118	0.031302	NA
Andrews-Hanna2011_children_I00001	0.260901	0.032413	NA
Andrews-Hanna2011_children_I00002	0.269634	0.032493	NA
Andrews-Hanna2011_children_I00003	0.236435	0.032205	NA
Andrews-Hanna2011_children_I00004	0.262138	0.032424	NA
Andrews-Hanna2011_children_I00005	-0.075441	0.031347	NA
Andrews-Hanna2011_children_I00006	0.256644	0.032376	NA
Andrews-Hanna2011_children_I00007	0.261065	0.032415	NA
Andrews-Hanna2011_children_I00008	0.262249	0.032425	NA
Andrews-Hanna2011_children_I00009	0.263523	0.032437	NA
Andrews-Hanna2011_children_I00010	-0.049568	0.031292	NA
Andrews-Hanna2011_children_I00011	0.261042	0.032415	NA
Andrews-Hanna2011_children_I00012	-0.082432	0.031366	NA
Andrews-Hanna2011_children_I00013	0.245380	0.032279	NA
Andrews-Hanna2011_children_I00014	0.253117	0.032345	NA
Andrews-Hanna2011_children_I00015	0.254337	0.032356	NA
Andrews-Hanna2011_children_I00016	0.256898	0.032378	NA
Andrews-Hanna2011_children_I00017	0.282176	0.032611	NA
Andrews-Hanna2011_children_I00018	0.273355	0.032527	NA
Andrews-Hanna2011_children_I00019	-0.084755	0.031373	NA
