map	estimate	variance	sdm_z
<i>&beta;</i><sub>0</sub>	0.308936	NA	NA
Hedges' <i>g</i>	0.274926	0.002710	5.281104
uncorrp	1.000000	NA	NA
uncorrp_neg	0.000000	NA	NA
MyLinearModel_Adult_minus_ChildOld_<i>&tau;</i><sup>2</sup>	0.009129	NA	NA
MyLinearModel_Adult_minus_ChildOld_<i>H</i><sup>2</sup>	1.223740	NA	NA
MyLinearModel_Adult_minus_ChildOld_<i>I</i><sup>2</sup>	18.283327	NA	NA
MyLinearModel_Adult_minus_ChildOld_<i>Q</i><sup>2</sup>	109.907249	NA	-0.028783
corrp_voxel	0.999000	NA	NA
corrp_voxel_neg	0.000000	NA	NA
corrp_tfce	0.000000	NA	NA
corrp_tfce_neg	0.732000	NA	NA
Andrews-Hanna2011_children_I00000	-0.100180	0.031422	NA
Andrews-Hanna2011_children_I00001	0.252937	0.032343	NA
Andrews-Hanna2011_children_I00002	-0.106032	0.031442	NA
Andrews-Hanna2011_children_I00003	-0.104571	0.031437	NA
Andrews-Hanna2011_children_I00004	-0.100180	0.031422	NA
Andrews-Hanna2011_children_I00005	-0.067822	0.031329	NA
Andrews-Hanna2011_children_I00006	0.247481	0.032297	NA
Andrews-Hanna2011_children_I00007	-0.033127	0.031269	NA
Andrews-Hanna2011_children_I00008	0.220514	0.032081	NA
Andrews-Hanna2011_children_I00009	0.296487	0.032752	NA
Andrews-Hanna2011_children_I00010	0.232843	0.032177	NA
Andrews-Hanna2011_children_I00011	0.266778	0.032466	NA
Andrews-Hanna2011_children_I00012	-0.064606	0.031321	NA
Andrews-Hanna2011_children_I00013	0.227678	0.032136	NA
Andrews-Hanna2011_children_I00014	-0.094373	0.031402	NA
Andrews-Hanna2011_children_I00015	0.185963	0.031841	NA
Andrews-Hanna2011_children_I00016	-0.049278	0.031292	NA
Andrews-Hanna2011_children_I00017	-0.103256	0.031432	NA
Andrews-Hanna2011_children_I00018	0.267431	0.032472	NA
Andrews-Hanna2011_children_I00019	0.218290	0.032064	NA
Andrews-Hanna2011_children_I00020	-0.048215	0.031290	NA
Andrews-Hanna2011_children_I00021	-0.053237	0.031298	NA
Andrews-Hanna2011_children_I00022	0.274723	0.032540	NA
Andrews-Hanna2011_children_I00023	0.274111	0.032534	NA
Andrews-Hanna2011_children_I00024	0.247349	0.032296	NA
Andrews-Hanna2011_children_I00025	0.261132	0.032415	NA
Andrews-Hanna2011_children_I00026	0.260641	0.032411	NA
Andrews-Hanna2011_children_I00027	0.258508	0.032392	NA
Andrews-Hanna2011_children_I00028	-0.067849	0.031329	NA
Andrews-Hanna2011_children_I00029	0.292581	0.032713	NA
Andrews-Hanna2011_children_I00030	0.255786	0.032368	NA
Andrews-Hanna2011_children_I00031	0.257869	0.032386	NA
Andrews-Hanna2011_children_I00032	-0.060706	0.031313	NA
Andrews-Hanna2011_children_I00033	0.263806	0.032439	NA
Andrews-Hanna2011_children_I00034	-0.112993	0.031468	NA
Andrews-Hanna2011_children_I00035	0.216669	0.032052	NA
Andrews-Hanna2011_children_I00036	0.263172	0.032434	NA
Andrews-Hanna2011_children_I00037	-0.084213	0.031371	NA
Andrews-Hanna2011_children_I00038	0.240651	0.032240	NA
Andrews-Hanna2011_children_I00039	0.262041	0.032424	NA
Andrews-Hanna2011_children_I00040	-0.096883	0.031410	NA
Andrews-Hanna2011_children_I00041	-0.103811	0.031434	NA
Andrews-Hanna2011_children_I00042	0.256464	0.032374	NA
Andrews-Hanna2011_children_I00043	0.255887	0.032369	NA
Andrews-Hanna2011_children_I00044	-0.089537	0.031387	NA
Andrews-Hanna2011_children_I00045	0.208687	0.031994	NA
Andrews-Hanna2011_children_I00046	0.268301	0.032480	NA
Andrews-Hanna2011_children_I00047	0.261728	0.032421	NA
Andrews-Hanna2011_children_I00048	0.282878	0.032618	NA
Andrews-Hanna2011_children_I00049	0.288219	0.032670	NA
deKieviet2014_children_I00000	-0.042038	0.021297	NA
deKieviet2014_children_I00001	0.211769	0.021783	NA
deKieviet2014_children_I00002	0.221663	0.021832	NA
deKieviet2014_children_I00003	0.248582	0.021975	NA
deKieviet2014_children_I00004	-0.048425	0.021303	NA
deKieviet2014_children_I00005	0.220174	0.021824	NA
deKieviet2014_children_I00006	-0.035650	0.021291	NA
deKieviet2014_children_I00007	0.225920	0.021853	NA
deKieviet2014_children_I00008	0.206066	0.021756	NA
deKieviet2014_children_I00009	-0.041637	0.021296	NA
deKieviet2014_children_I00010	0.206786	0.021760	NA
deKieviet2014_children_I00011	0.241195	0.021934	NA
deKieviet2014_children_I00012	0.173607	0.021617	NA
deKieviet2014_children_I00013	0.245425	0.021957	NA
deKieviet2014_children_I00014	0.236765	0.021910	NA
deKieviet2014_children_I00015	0.191110	0.021689	NA
deKieviet2014_children_I00016	0.222085	0.021834	NA
deKieviet2014_children_I00017	0.243519	0.021946	NA
deKieviet2014_children_I00018	0.232786	0.021889	NA
deKieviet2014_children_I00019	0.235723	0.021904	NA
deKieviet2014_children_I00020	0.242609	0.021941	NA
deKieviet2014_children_I00021	0.235218	0.021902	NA
deKieviet2014_children_I00022	0.235355	0.021902	NA
deKieviet2014_children_I00023	-0.034293	0.021290	NA
deKieviet2014_children_I00024	0.237217	0.021912	NA
deKieviet2014_children_I00025	-0.058317	0.021315	NA
deKieviet2014_children_I00026	-0.118017	0.021434	NA
deKieviet2014_children_I00027	0.216180	0.021804	NA
deKieviet2014_children_I00028	0.242257	0.021939	NA
deKieviet2014_children_I00029	-0.063363	0.021322	NA
deKieviet2014_children_I00030	-0.052362	0.021308	NA
deKieviet2014_children_I00031	0.227206	0.021860	NA
deKieviet2014_children_I00032	0.245668	0.021958	NA
deKieviet2014_children_I00033	-0.013463	0.021279	NA
deKieviet2014_children_I00034	-0.042122	0.021297	NA
deKieviet2014_children_I00035	0.270634	0.022104	NA
deKieviet2014_children_I00036	-0.088596	0.021365	NA
deKieviet2014_children_I00037	0.236139	0.021906	NA
deKieviet2014_children_I00038	0.245360	0.021957	NA
deKieviet2014_children_I00039	0.215826	0.021803	NA
deKieviet2014_children_I00040	-0.019824	0.021281	NA
deKieviet2014_children_I00041	0.229920	0.021874	NA
deKieviet2014_children_I00042	0.209837	0.021774	NA
deKieviet2014_children_I00043	-0.063371	0.021322	NA
deKieviet2014_children_I00044	0.189179	0.021681	NA
deKieviet2014_children_I00045	-0.030108	0.021287	NA
deKieviet2014_children_I00046	0.221816	0.021832	NA
deKieviet2014_children_I00047	0.223954	0.021843	NA
deKieviet2014_children_I00048	0.221826	0.021832	NA
deKieviet2014_children_I00049	0.248349	0.021973	NA
Fan2014_children_I00000	0.216524	0.044635	NA
Fan2014_children_I00001	-0.100915	0.043730	NA
Fan2014_children_I00002	0.214002	0.044609	NA
Fan2014_children_I00003	-0.125405	0.043866	NA
Fan2014_children_I00004	-0.113349	0.043795	NA
Fan2014_children_I00005	0.213328	0.044601	NA
Fan2014_children_I00006	0.190385	0.044373	NA
Fan2014_children_I00007	-0.099516	0.043723	NA
Fan2014_children_I00008	-0.115581	0.043808	NA
