map	estimate	variance	sdm_z
<i>&beta;</i><sub>0</sub>	0.313166	NA	NA
Hedges' <i>g</i>	0.169630	0.002317	3.524081
uncorrp	0.999788	NA	NA
uncorrp_neg	0.000212	NA	NA
MyLinearModel_Adult_minus_ChildOld_<i>&tau;</i><sup>2</sup>	0.001680	NA	NA
MyLinearModel_Adult_minus_ChildOld_<i>H</i><sup>2</sup>	1.038554	NA	NA
MyLinearModel_Adult_minus_ChildOld_<i>I</i><sup>2</sup>	3.712303	NA	NA
MyLinearModel_Adult_minus_ChildOld_<i>Q</i><sup>2</sup>	72.441727	NA	-2.922065
corrp_voxel	0.999000	NA	NA
corrp_voxel_neg	0.000000	NA	NA
corrp_tfce	0.999000	NA	NA
corrp_tfce_neg	0.732000	NA	NA
Andrews-Hanna2011_children_I00000	0.253541	0.032349	NA
Andrews-Hanna2011_children_I00001	0.297744	0.032765	NA
Andrews-Hanna2011_children_I00002	0.286876	0.032657	NA
Andrews-Hanna2011_children_I00003	0.275909	0.032551	NA
Andrews-Hanna2011_children_I00004	-0.088499	0.031384	NA
Andrews-Hanna2011_children_I00005	0.288367	0.032671	NA
Andrews-Hanna2011_children_I00006	0.280122	0.032591	NA
Andrews-Hanna2011_children_I00007	-0.062219	0.031316	NA
Andrews-Hanna2011_children_I00008	0.287570	0.032663	NA
Andrews-Hanna2011_children_I00009	0.320163	0.033002	NA
Andrews-Hanna2011_children_I00010	0.308818	0.032880	NA
Andrews-Hanna2011_children_I00011	0.295706	0.032744	NA
Andrews-Hanna2011_children_I00012	0.302581	0.032815	NA
Andrews-Hanna2011_children_I00013	0.280787	0.032597	NA
Andrews-Hanna2011_children_I00014	-0.047673	0.031289	NA
Andrews-Hanna2011_children_I00015	0.269092	0.032488	NA
Andrews-Hanna2011_children_I00016	-0.058542	0.031309	NA
Andrews-Hanna2011_children_I00017	0.265543	0.032455	NA
Andrews-Hanna2011_children_I00018	0.298056	0.032768	NA
Andrews-Hanna2011_children_I00019	-0.063686	0.031319	NA
Andrews-Hanna2011_children_I00020	-0.063289	0.031318	NA
Andrews-Hanna2011_children_I00021	0.307929	0.032871	NA
Andrews-Hanna2011_children_I00022	0.301730	0.032806	NA
Andrews-Hanna2011_children_I00023	0.273975	0.032533	NA
Andrews-Hanna2011_children_I00024	0.290704	0.032694	NA
Andrews-Hanna2011_children_I00025	0.311068	0.032904	NA
Andrews-Hanna2011_children_I00026	0.304093	0.032830	NA
