map	estimate	variance	sdm_z
<i>&beta;</i><sub>0</sub>	0.192769	NA	NA
Hedges' <i>g</i>	0.024343	0.003002	0.444263
uncorrp	0.671574	NA	NA
uncorrp_neg	0.328426	NA	NA
MyLinearModel_Adult_minus_ChildOld_<i>&tau;</i><sup>2</sup>	0.006202	NA	NA
MyLinearModel_Adult_minus_ChildOld_<i>H</i><sup>2</sup>	1.155179	NA	NA
MyLinearModel_Adult_minus_ChildOld_<i>I</i><sup>2</sup>	13.433310	NA	NA
MyLinearModel_Adult_minus_ChildOld_<i>Q</i><sup>2</sup>	100.080597	NA	-0.713234
corrp_voxel	0.000000	NA	NA
corrp_voxel_neg	0.000000	NA	NA
corrp_tfce	0.999000	NA	NA
corrp_tfce_neg	0.732000	NA	NA
Andrews-Hanna2011_children_I00000	0.258872	0.032395	NA
Andrews-Hanna2011_children_I00001	0.303526	0.032825	NA
Andrews-Hanna2011_children_I00002	0.225990	0.032123	NA
Andrews-Hanna2011_children_I00003	0.265040	0.032451	NA
Andrews-Hanna2011_children_I00004	-0.048869	0.031291	NA
Andrews-Hanna2011_children_I00005	-0.076538	0.031350	NA
Andrews-Hanna2011_children_I00006	-0.088768	0.031385	NA
Andrews-Hanna2011_children_I00007	0.241272	0.032245	NA
Andrews-Hanna2011_children_I00008	-0.054929	0.031302	NA
Andrews-Hanna2011_children_I00009	0.293962	0.032727	NA
Andrews-Hanna2011_children_I00010	-0.037786	0.031274	NA
Andrews-Hanna2011_children_I00011	0.289818	0.032686	NA
Andrews-Hanna2011_children_I00012	0.235475	0.032198	NA
Andrews-Hanna2011_children_I00013	0.246484	0.032288	NA
Andrews-Hanna2011_children_I00014	0.257438	0.032383	NA
Andrews-Hanna2011_children_I00015	-0.064661	0.031321	NA
Andrews-Hanna2011_children_I00016	0.278531	0.032576	NA
Andrews-Hanna2011_children_I00017	0.265161	0.032452	NA
Andrews-Hanna2011_children_I00018	0.249829	0.032317	NA
Andrews-Hanna2011_children_I00019	0.281807	0.032607	NA
Andrews-Hanna2011_children_I00020	0.291682	0.032704	NA
Andrews-Hanna2011_children_I00021	-0.099240	0.031418	NA
Andrews-Hanna2011_children_I00022	0.243221	0.032261	NA
Andrews-Hanna2011_children_I00023	-0.056643	0.031305	NA
Andrews-Hanna2011_children_I00024	-0.097016	0.031411	NA
Andrews-Hanna2011_children_I00025	0.241656	0.032248	NA
Andrews-Hanna2011_children_I00026	-0.071433	0.031337	NA
Andrews-Hanna2011_children_I00027	-0.052662	0.031297	NA
Andrews-Hanna2011_children_I00028	0.256017	0.032370	NA
Andrews-Hanna2011_children_I00029	0.280754	0.032597	NA
Andrews-Hanna2011_children_I00030	0.266264	0.032462	NA
Andrews-Hanna2011_children_I00031	0.289878	0.032686	NA
Andrews-Hanna2011_children_I00032	0.225588	0.032120	NA
Andrews-Hanna2011_children_I00033	0.233369	0.032181	NA
Andrews-Hanna2011_children_I00034	0.213928	0.032032	NA
Andrews-Hanna2011_children_I00035	0.285758	0.032646	NA
Andrews-Hanna2011_children_I00036	-0.052358	0.031297	NA
Andrews-Hanna2011_children_I00037	-0.032926	0.031269	NA
Andrews-Hanna2011_children_I00038	0.278016	0.032571	NA
Andrews-Hanna2011_children_I00039	0.279894	0.032589	NA
Andrews-Hanna2011_children_I00040	-0.041020	0.031279	NA
Andrews-Hanna2011_children_I00041	0.260652	0.032411	NA
Andrews-Hanna2011_children_I00042	-0.101457	0.031426	NA
Andrews-Hanna2011_children_I00043	-0.034005	0.031270	NA
Andrews-Hanna2011_children_I00044	-0.089996	0.031388	NA
Andrews-Hanna2011_children_I00045	0.254755	0.032359	NA
Andrews-Hanna2011_children_I00046	-0.055857	0.031303	NA
