map	estimate	variance	sdm_z
<i>&beta;</i><sub>0</sub>	0.234472	NA	NA
Hedges' <i>g</i>	0.000509	0.003658	0.008421
uncorrp	0.503360	NA	NA
uncorrp_neg	0.496640	NA	NA
MyLinearModel_Adult_minus_ChildOld_<i>&tau;</i><sup>2</sup>	0.020222	NA	NA
MyLinearModel_Adult_minus_ChildOld_<i>H</i><sup>2</sup>	1.504382	NA	NA
MyLinearModel_Adult_minus_ChildOld_<i>I</i><sup>2</sup>	33.527512	NA	NA
MyLinearModel_Adult_minus_ChildOld_<i>Q</i><sup>2</sup>	121.182121	NA	0.707966
corrp_voxel	0.000000	NA	NA
corrp_voxel_neg	0.000000	NA	NA
corrp_tfce	0.999000	NA	NA
corrp_tfce_neg	0.732000	NA	NA
Andrews-Hanna2011_children_I00000	0.272985	0.032524	NA
Andrews-Hanna2011_children_I00001	0.310706	0.032900	NA
Andrews-Hanna2011_children_I00002	0.314521	0.032941	NA
Andrews-Hanna2011_children_I00003	0.298803	0.032776	NA
Andrews-Hanna2011_children_I00004	0.319250	0.032992	NA
Andrews-Hanna2011_children_I00005	-0.114655	0.031475	NA
Andrews-Hanna2011_children_I00006	0.313380	0.032928	NA
Andrews-Hanna2011_children_I00007	0.293753	0.032725	NA
Andrews-Hanna2011_children_I00008	0.276638	0.032558	NA
Andrews-Hanna2011_children_I00009	0.293085	0.032718	NA
Andrews-Hanna2011_children_I00010	0.293432	0.032722	NA
Andrews-Hanna2011_children_I00011	-0.061906	0.031315	NA
Andrews-Hanna2011_children_I00012	0.296651	0.032754	NA
Andrews-Hanna2011_children_I00013	0.307848	0.032870	NA
Andrews-Hanna2011_children_I00014	-0.095238	0.031405	NA
Andrews-Hanna2011_children_I00015	0.316274	0.032960	NA
Andrews-Hanna2011_children_I00016	0.291030	0.032698	NA
Andrews-Hanna2011_children_I00017	-0.072305	0.031339	NA
Andrews-Hanna2011_children_I00018	-0.060562	0.031313	NA
Andrews-Hanna2011_children_I00019	0.277828	0.032569	NA
Andrews-Hanna2011_children_I00020	0.309017	0.032882	NA
Andrews-Hanna2011_children_I00021	0.327322	0.033081	NA
Andrews-Hanna2011_children_I00022	0.292438	0.032712	NA
Andrews-Hanna2011_children_I00023	-0.056185	0.031304	NA
Andrews-Hanna2011_children_I00024	0.337436	0.033196	NA
Andrews-Hanna2011_children_I00025	0.306927	0.032860	NA
Andrews-Hanna2011_children_I00026	0.308536	0.032877	NA
Andrews-Hanna2011_children_I00027	-0.089315	0.031386	NA
Andrews-Hanna2011_children_I00028	-0.099427	0.031419	NA
Andrews-Hanna2011_children_I00029	0.291963	0.032707	NA
Andrews-Hanna2011_children_I00030	0.323231	0.033036	NA
Andrews-Hanna2011_children_I00031	0.314775	0.032943	NA
Andrews-Hanna2011_children_I00032	0.317134	0.032969	NA
Andrews-Hanna2011_children_I00033	0.267254	0.032471	NA
Andrews-Hanna2011_children_I00034	0.289599	0.032683	NA
Andrews-Hanna2011_children_I00035	0.297897	0.032767	NA
Andrews-Hanna2011_children_I00036	0.272701	0.032521	NA
Andrews-Hanna2011_children_I00037	0.308601	0.032878	NA
Andrews-Hanna2011_children_I00038	0.301837	0.032807	NA
Andrews-Hanna2011_children_I00039	0.283581	0.032624	NA
Andrews-Hanna2011_children_I00040	0.308626	0.032878	NA
