map	estimate	variance	sdm_z
<i>&beta;</i><sub>0</sub>	0.160398	NA	NA
Hedges' <i>g</i>	0.092662	0.001363	2.516911
uncorrp	0.993907	NA	NA
uncorrp_neg	0.006093	NA	NA
Adult_minus_Older_good_<i>&tau;</i><sup>2</sup>	0.009130	NA	NA
Adult_minus_Older_good_<i>H</i><sup>2</sup>	1.184332	NA	NA
Adult_minus_Older_good_<i>I</i><sup>2</sup>	14.186762	NA	NA
Adult_minus_Older_good_<i>Q</i><sup>2</sup>	99.450813	NA	-0.040968
Zhu2010_adults_I00000	0.189699	0.047315	NA
Zhu2010_adults_I00001	0.187250	0.047378	NA
Zhu2010_adults_I00002	0.050549	0.046657	NA
Zhu2010_adults_I00003	0.187814	0.047382	NA
Zhu2010_adults_I00004	0.022237	0.046507	NA
Zhu2010_adults_I00005	0.221250	0.047568	NA
Zhu2010_adults_I00006	0.201088	0.047414	NA
Zhu2010_adults_I00007	0.230588	0.047701	NA
Zhu2010_adults_I00008	0.066363	0.046707	NA
Zhu2010_adults_I00009	0.290780	0.048054	NA
Zhu2010_adults_I00010	0.265732	0.047630	NA
Zhu2010_adults_I00011	0.125094	0.046919	NA
Zhu2010_adults_I00012	0.115500	0.046982	NA
Zhu2010_adults_I00013	0.288117	0.047971	NA
Zhu2010_adults_I00014	0.232869	0.047776	NA
Zhu2010_adults_I00015	0.238071	0.047554	NA
Zhu2010_adults_I00016	0.190135	0.047356	NA
Zhu2010_adults_I00017	0.025457	0.046546	NA
Zhu2010_adults_I00018	-0.015177	0.046343	NA
Zhu2010_adults_I00019	0.196079	0.047289	NA
Zhu2010_adults_I00020	0.197658	0.047249	NA
Zhu2010_adults_I00021	0.182550	0.047328	NA
Zhu2010_adults_I00022	0.143307	0.047076	NA
Zhu2010_adults_I00023	0.132021	0.046944	NA
Zhu2010_adults_I00024	0.140651	0.047031	NA
Zhu2010_adults_I00025	0.157064	0.047188	NA
Zhu2010_adults_I00026	0.162858	0.047246	NA
Zhu2010_adults_I00027	0.198036	0.047278	NA
Zhu2010_adults_I00028	0.224516	0.047525	NA
Zhu2010_adults_I00029	0.163053	0.047267	NA
Zhu2010_adults_I00030	0.224141	0.047508	NA
Zhu2010_adults_I00031	0.195097	0.047245	NA
Zhu2010_adults_I00032	0.101663	0.046853	NA
Zhu2010_adults_I00033	0.042722	0.046628	NA
Zhu2010_adults_I00034	0.220669	0.047608	NA
Zhu2010_adults_I00035	0.163179	0.047192	NA
Zhu2010_adults_I00036	0.165001	0.047192	NA
