map	estimate	variance	sdm_z
<i>&beta;</i><sub>0</sub>	0.224236	NA	NA
Hedges' <i>g</i>	0.063375	0.000587	2.649624
uncorrp	0.990954	NA	NA
uncorrp_neg	0.009045	NA	NA
MyLinearModel_<i>&tau;</i><sup>2</sup>	0.008077	NA	NA
MyLinearModel_<i>H</i><sup>2</sup>	1.192470	NA	NA
MyLinearModel_<i>I</i><sup>2</sup>	11.100621	NA	NA
MyLinearModel_<i>Q</i><sup>2</sup>	114.127602	NA	-1.341224
corrp_voxel	0.989431	NA	NA
corrp_voxel_neg	0.000000	NA	NA
corrp_tfce	0.997661	NA	NA
corrp_tfce_neg	0.000000	NA	NA
Andrews-Hanna2011_children_I00000	0.117363	0.032013	NA
Andrews-Hanna2011_children_I00001	0.112482	0.031992	NA
Andrews-Hanna2011_children_I00002	0.141054	0.032124	NA
Andrews-Hanna2011_children_I00003	0.126534	0.032046	NA
Andrews-Hanna2011_children_I00004	0.125650	0.032034	NA
Andrews-Hanna2011_children_I00005	0.173543	0.032164	NA
Andrews-Hanna2011_children_I00006	0.057587	0.031835	NA
Andrews-Hanna2011_children_I00007	0.119317	0.032035	NA
Andrews-Hanna2011_children_I00008	0.145687	0.032090	NA
Andrews-Hanna2011_children_I00009	0.172375	0.032143	NA
Andrews-Hanna2011_children_I00010	0.100496	0.031971	NA
Andrews-Hanna2011_children_I00011	0.159193	0.032128	NA
Andrews-Hanna2011_children_I00012	0.071682	0.031878	NA
Andrews-Hanna2011_children_I00013	0.120087	0.032006	NA
Andrews-Hanna2011_children_I00014	0.079109	0.031914	NA
Andrews-Hanna2011_children_I00015	0.088613	0.031927	NA
Andrews-Hanna2011_children_I00016	0.091963	0.031908	NA
Andrews-Hanna2011_children_I00017	0.142928	0.032117	NA
Andrews-Hanna2011_children_I00018	0.144468	0.032111	NA
Andrews-Hanna2011_children_I00019	0.125364	0.032023	NA
Andrews-Hanna2011_children_I00020	0.127394	0.032036	NA
Andrews-Hanna2011_children_I00021	0.086366	0.031931	NA
Andrews-Hanna2011_children_I00022	0.154045	0.032102	NA
Andrews-Hanna2011_children_I00023	0.124119	0.032056	NA
Andrews-Hanna2011_children_I00024	0.157979	0.032113	NA
Andrews-Hanna2011_children_I00025	0.181452	0.032189	NA
Andrews-Hanna2011_children_I00026	0.206291	0.032286	NA
Andrews-Hanna2011_children_I00027	0.091540	0.031974	NA
Andrews-Hanna2011_children_I00028	0.122457	0.032034	NA
Andrews-Hanna2011_children_I00029	0.130637	0.032033	NA
Andrews-Hanna2011_children_I00030	0.148676	0.032129	NA
Andrews-Hanna2011_children_I00031	0.073110	0.031894	NA
Andrews-Hanna2011_children_I00032	0.160952	0.032135	NA
Andrews-Hanna2011_children_I00033	0.100480	0.031963	NA
Andrews-Hanna2011_children_I00034	0.167208	0.032172	NA
Andrews-Hanna2011_children_I00035	0.118545	0.032000	NA
Andrews-Hanna2011_children_I00036	0.166702	0.032153	NA
Andrews-Hanna2011_children_I00037	0.099362	0.031986	NA
Andrews-Hanna2011_children_I00038	0.144735	0.032111	NA
Andrews-Hanna2011_children_I00039	0.162173	0.032141	NA
Andrews-Hanna2011_children_I00040	0.145284	0.032110	NA
Andrews-Hanna2011_children_I00041	0.151245	0.032115	NA
Andrews-Hanna2011_children_I00042	0.107785	0.031990	NA
Andrews-Hanna2011_children_I00043	0.152749	0.032129	NA
Andrews-Hanna2011_children_I00044	0.131038	0.032055	NA
Andrews-Hanna2011_children_I00045	0.095547	0.031948	NA
Andrews-Hanna2011_children_I00046	0.067418	0.031890	NA
Andrews-Hanna2011_children_I00047	0.095793	0.031972	NA
Andrews-Hanna2011_children_I00048	0.119976	0.032045	NA
Andrews-Hanna2011_children_I00049	0.125274	0.032061	NA
deKieviet2014_children_I00000	0.163672	0.021811	NA
deKieviet2014_children_I00001	0.108971	0.021716	NA
deKieviet2014_children_I00002	0.149021	0.021805	NA
deKieviet2014_children_I00003	0.155492	0.021794	NA
deKieviet2014_children_I00004	0.143114	0.021776	NA
deKieviet2014_children_I00005	0.115357	0.021706	NA
deKieviet2014_children_I00006	0.153232	0.021777	NA
deKieviet2014_children_I00007	0.121110	0.021716	NA
deKieviet2014_children_I00008	0.158480	0.021810	NA
deKieviet2014_children_I00009	0.120344	0.021718	NA
deKieviet2014_children_I00010	0.170550	0.021814	NA
deKieviet2014_children_I00011	0.093157	0.021663	NA
deKieviet2014_children_I00012	0.077625	0.021649	NA
deKieviet2014_children_I00013	0.140155	0.021795	NA
deKieviet2014_children_I00014	0.163577	0.021801	NA
deKieviet2014_children_I00015	0.157725	0.021794	NA
deKieviet2014_children_I00016	0.089330	0.021648	NA
deKieviet2014_children_I00017	0.138290	0.021745	NA
deKieviet2014_children_I00018	0.192544	0.021868	NA
deKieviet2014_children_I00019	0.155326	0.021801	NA
deKieviet2014_children_I00020	0.123562	0.021742	NA
deKieviet2014_children_I00021	0.151235	0.021797	NA
deKieviet2014_children_I00022	0.185629	0.021833	NA
deKieviet2014_children_I00023	0.170624	0.021846	NA
deKieviet2014_children_I00024	0.095732	0.021650	NA
deKieviet2014_children_I00025	0.158264	0.021809	NA
deKieviet2014_children_I00026	0.111906	0.021697	NA
deKieviet2014_children_I00027	0.176451	0.021841	NA
deKieviet2014_children_I00028	0.145893	0.021751	NA
deKieviet2014_children_I00029	0.129270	0.021726	NA
deKieviet2014_children_I00030	0.148014	0.021772	NA
deKieviet2014_children_I00031	0.153605	0.021809	NA
deKieviet2014_children_I00032	0.125219	0.021715	NA
deKieviet2014_children_I00033	0.149941	0.021796	NA
deKieviet2014_children_I00034	0.129670	0.021748	NA
deKieviet2014_children_I00035	0.115343	0.021711	NA
deKieviet2014_children_I00036	0.165936	0.021831	NA
deKieviet2014_children_I00037	0.120247	0.021717	NA
deKieviet2014_children_I00038	0.118121	0.021701	NA
deKieviet2014_children_I00039	0.187731	0.021880	NA
deKieviet2014_children_I00040	0.146960	0.021771	NA
deKieviet2014_children_I00041	0.124969	0.021717	NA
deKieviet2014_children_I00042	0.156840	0.021804	NA
deKieviet2014_children_I00043	0.126190	0.021722	NA
deKieviet2014_children_I00044	0.193119	0.021871	NA
deKieviet2014_children_I00045	0.160022	0.021783	NA
deKieviet2014_children_I00046	0.168855	0.021828	NA
deKieviet2014_children_I00047	0.136740	0.021759	NA
deKieviet2014_children_I00048	0.084063	0.021643	NA
deKieviet2014_children_I00049	0.139593	0.021742	NA
Fan2014_children_I00000	0.110292	0.044344	NA
Fan2014_children_I00001	0.083524	0.044277	NA
Fan2014_children_I00002	0.056168	0.044223	NA
Fan2014_children_I00003	0.119051	0.044363	NA
Fan2014_children_I00004	0.068448	0.044274	NA
Fan2014_children_I00005	0.127593	0.044404	NA
Fan2014_children_I00006	0.088523	0.044286	NA
Fan2014_children_I00007	0.059650	0.044209	NA
Fan2014_children_I00008	0.078618	0.044274	NA
Fan2014_children_I00009	0.078983	0.044273	NA
Fan2014_children_I00010	0.078519	0.044266	NA
Fan2014_children_I00011	0.122965	0.044392	NA
Fan2014_children_I00012	0.067672	0.044263	NA
Fan2014_children_I00013	0.115577	0.044363	NA
Fan2014_children_I00014	0.031956	0.044182	NA
Fan2014_children_I00015	0.021179	0.044146	NA
Fan2014_children_I00016	0.098282	0.044309	NA
Fan2014_children_I00017	0.078526	0.044263	NA
Fan2014_children_I00018	0.029571	0.044172	NA
Fan2014_children_I00019	0.060534	0.044262	NA
Fan2014_children_I00020	0.068778	0.044243	NA
Fan2014_children_I00021	0.021853	0.044139	NA
Fan2014_children_I00022	0.092663	0.044291	NA
Fan2014_children_I00023	0.073962	0.044253	NA
Fan2014_children_I00024	0.050529	0.044204	NA
Fan2014_children_I00025	0.026090	0.044151	NA
Fan2014_children_I00026	0.068715	0.044270	NA
Fan2014_children_I00027	0.098079	0.044317	NA
Fan2014_children_I00028	0.104716	0.044322	NA
Fan2014_children_I00029	0.105363	0.044325	NA
Fan2014_children_I00030	0.126156	0.044368	NA
Fan2014_children_I00031	0.105627	0.044326	NA
Fan2014_children_I00032	0.100231	0.044334	NA
Fan2014_children_I00033	0.104742	0.044299	NA
Fan2014_children_I00034	0.061402	0.044209	NA
Fan2014_children_I00035	0.073064	0.044275	NA
Fan2014_children_I00036	0.104660	0.044317	NA
Fan2014_children_I00037	0.120833	0.044351	NA
Fan2014_children_I00038	0.075466	0.044243	NA
Fan2014_children_I00039	0.083145	0.044276	NA
Fan2014_children_I00040	0.108426	0.044331	NA
Fan2014_children_I00041	0.132969	0.044372	NA
Fan2014_children_I00042	0.024768	0.044140	NA
Fan2014_children_I00043	0.128452	0.044394	NA
Fan2014_children_I00044	0.101244	0.044292	NA
Fan2014_children_I00045	0.068895	0.044207	NA
Fan2014_children_I00046	0.061295	0.044215	NA
Fan2014_children_I00047	0.081607	0.044274	NA
Fan2014_children_I00048	0.043530	0.044189	NA
Fan2014_children_I00049	0.071679	0.044271	NA
Hansen2018_children_I00000	0.111993	0.005906	NA
Hansen2018_children_I00001	0.105566	0.005903	NA
Hansen2018_children_I00002	0.121073	0.005908	NA
Hansen2018_children_I00003	0.094131	0.005896	NA
Hansen2018_children_I00004	0.122483	0.005911	NA
Hansen2018_children_I00005	0.129704	0.005920	NA
Hansen2018_children_I00006	0.118182	0.005909	NA
Hansen2018_children_I00007	0.125942	0.005917	NA
