map	estimate	variance	sdm_z
<i>&beta;</i><sub>0</sub>	0.216855	NA	NA
Hedges' <i>g</i>	0.019121	0.000644	0.733757
uncorrp	0.712371	NA	NA
uncorrp_neg	0.287631	NA	NA
MyLinearModel_<i>&tau;</i><sup>2</sup>	0.011728	NA	NA
MyLinearModel_<i>H</i><sup>2</sup>	1.279750	NA	NA
MyLinearModel_<i>I</i><sup>2</sup>	16.337063	NA	NA
MyLinearModel_<i>Q</i><sup>2</sup>	122.715393	NA	-0.731569
corrp_voxel	0.237956	NA	NA
corrp_voxel_neg	-0.012017	NA	NA
corrp_tfce	0.248824	NA	NA
corrp_tfce_neg	0.000000	NA	NA
Andrews-Hanna2011_children_I00000	0.146385	0.032200	NA
Andrews-Hanna2011_children_I00001	0.205652	0.032408	NA
Andrews-Hanna2011_children_I00002	0.164760	0.032270	NA
Andrews-Hanna2011_children_I00003	0.175111	0.032312	NA
Andrews-Hanna2011_children_I00004	0.192676	0.032396	NA
Andrews-Hanna2011_children_I00005	0.162131	0.032262	NA
Andrews-Hanna2011_children_I00006	0.146488	0.032213	NA
Andrews-Hanna2011_children_I00007	0.178328	0.032320	NA
Andrews-Hanna2011_children_I00008	0.189876	0.032361	NA
Andrews-Hanna2011_children_I00009	0.224028	0.032488	NA
Andrews-Hanna2011_children_I00010	0.156216	0.032238	NA
Andrews-Hanna2011_children_I00011	0.209984	0.032440	NA
Andrews-Hanna2011_children_I00012	0.121595	0.032109	NA
Andrews-Hanna2011_children_I00013	0.185342	0.032339	NA
Andrews-Hanna2011_children_I00014	0.143029	0.032178	NA
Andrews-Hanna2011_children_I00015	0.143475	0.032198	NA
Andrews-Hanna2011_children_I00016	0.131118	0.032122	NA
Andrews-Hanna2011_children_I00017	0.167779	0.032316	NA
Andrews-Hanna2011_children_I00018	0.166698	0.032262	NA
Andrews-Hanna2011_children_I00019	0.191334	0.032377	NA
Andrews-Hanna2011_children_I00020	0.162775	0.032263	NA
Andrews-Hanna2011_children_I00021	0.144408	0.032186	NA
Andrews-Hanna2011_children_I00022	0.225278	0.032518	NA
Andrews-Hanna2011_children_I00023	0.181141	0.032343	NA
Andrews-Hanna2011_children_I00024	0.187361	0.032372	NA
Andrews-Hanna2011_children_I00025	0.195099	0.032388	NA
Andrews-Hanna2011_children_I00026	0.177465	0.032314	NA
Andrews-Hanna2011_children_I00027	0.178728	0.032327	NA
Andrews-Hanna2011_children_I00028	0.163177	0.032297	NA
Andrews-Hanna2011_children_I00029	0.182224	0.032356	NA
Andrews-Hanna2011_children_I00030	0.197679	0.032405	NA
Andrews-Hanna2011_children_I00031	0.136074	0.032160	NA
Andrews-Hanna2011_children_I00032	0.193558	0.032430	NA
Andrews-Hanna2011_children_I00033	0.145170	0.032183	NA
Andrews-Hanna2011_children_I00034	0.231701	0.032546	NA
Andrews-Hanna2011_children_I00035	0.195891	0.032389	NA
Andrews-Hanna2011_children_I00036	0.176748	0.032326	NA
Andrews-Hanna2011_children_I00037	0.166779	0.032284	NA
Andrews-Hanna2011_children_I00038	0.213906	0.032492	NA
Andrews-Hanna2011_children_I00039	0.216628	0.032483	NA
Andrews-Hanna2011_children_I00040	0.197724	0.032383	NA
Andrews-Hanna2011_children_I00041	0.188691	0.032359	NA
Andrews-Hanna2011_children_I00042	0.167772	0.032272	NA
Andrews-Hanna2011_children_I00043	0.198181	0.032394	NA
Andrews-Hanna2011_children_I00044	0.157686	0.032256	NA
Andrews-Hanna2011_children_I00045	0.157596	0.032237	NA
Andrews-Hanna2011_children_I00046	0.164620	0.032268	NA
Andrews-Hanna2011_children_I00047	0.190579	0.032358	NA
Andrews-Hanna2011_children_I00048	0.176316	0.032320	NA
Andrews-Hanna2011_children_I00049	0.210767	0.032458	NA
deKieviet2014_children_I00000	0.146716	0.021733	NA
deKieviet2014_children_I00001	0.141816	0.021714	NA
deKieviet2014_children_I00002	0.165556	0.021765	NA
deKieviet2014_children_I00003	0.166887	0.021762	NA
deKieviet2014_children_I00004	0.111407	0.021656	NA
deKieviet2014_children_I00005	0.093928	0.021609	NA
deKieviet2014_children_I00006	0.150269	0.021732	NA
deKieviet2014_children_I00007	0.122977	0.021673	NA
deKieviet2014_children_I00008	0.145859	0.021727	NA
deKieviet2014_children_I00009	0.130299	0.021695	NA
deKieviet2014_children_I00010	0.161856	0.021760	NA
deKieviet2014_children_I00011	0.132674	0.021693	NA
deKieviet2014_children_I00012	0.109451	0.021645	NA
deKieviet2014_children_I00013	0.145909	0.021724	NA
deKieviet2014_children_I00014	0.167598	0.021776	NA
deKieviet2014_children_I00015	0.164437	0.021767	NA
deKieviet2014_children_I00016	0.131775	0.021691	NA
deKieviet2014_children_I00017	0.119470	0.021669	NA
deKieviet2014_children_I00018	0.163402	0.021759	NA
deKieviet2014_children_I00019	0.141235	0.021713	NA
deKieviet2014_children_I00020	0.143980	0.021723	NA
deKieviet2014_children_I00021	0.102579	0.021632	NA
deKieviet2014_children_I00022	0.172172	0.021789	NA
deKieviet2014_children_I00023	0.156179	0.021759	NA
deKieviet2014_children_I00024	0.096111	0.021609	NA
deKieviet2014_children_I00025	0.121302	0.021673	NA
deKieviet2014_children_I00026	0.114677	0.021666	NA
deKieviet2014_children_I00027	0.171886	0.021776	NA
deKieviet2014_children_I00028	0.159381	0.021756	NA
deKieviet2014_children_I00029	0.102948	0.021634	NA
deKieviet2014_children_I00030	0.114538	0.021663	NA
deKieviet2014_children_I00031	0.153200	0.021750	NA
deKieviet2014_children_I00032	0.131154	0.021690	NA
deKieviet2014_children_I00033	0.146006	0.021731	NA
deKieviet2014_children_I00034	0.110338	0.021644	NA
deKieviet2014_children_I00035	0.104818	0.021630	NA
deKieviet2014_children_I00036	0.134970	0.021710	NA
deKieviet2014_children_I00037	0.095933	0.021614	NA
deKieviet2014_children_I00038	0.107829	0.021646	NA
deKieviet2014_children_I00039	0.175343	0.021798	NA
deKieviet2014_children_I00040	0.128712	0.021685	NA
deKieviet2014_children_I00041	0.135460	0.021702	NA
deKieviet2014_children_I00042	0.130178	0.021692	NA
deKieviet2014_children_I00043	0.124296	0.021676	NA
deKieviet2014_children_I00044	0.152983	0.021736	NA
deKieviet2014_children_I00045	0.123991	0.021679	NA
deKieviet2014_children_I00046	0.172145	0.021801	NA
deKieviet2014_children_I00047	0.135963	0.021697	NA
deKieviet2014_children_I00048	0.121535	0.021667	NA
deKieviet2014_children_I00049	0.140129	0.021716	NA
Fan2014_children_I00000	0.127590	0.044398	NA
Fan2014_children_I00001	0.080819	0.044277	NA
Fan2014_children_I00002	0.096894	0.044312	NA
Fan2014_children_I00003	0.100560	0.044334	NA
Fan2014_children_I00004	0.125940	0.044395	NA
Fan2014_children_I00005	0.160767	0.044493	NA
Fan2014_children_I00006	0.118102	0.044382	NA
Fan2014_children_I00007	0.078743	0.044277	NA
Fan2014_children_I00008	0.113683	0.044364	NA
Fan2014_children_I00009	0.107854	0.044352	NA
Fan2014_children_I00010	0.088519	0.044293	NA
Fan2014_children_I00011	0.142434	0.044448	NA
Fan2014_children_I00012	0.055584	0.044212	NA
Fan2014_children_I00013	0.119253	0.044395	NA
Fan2014_children_I00014	0.075798	0.044276	NA
Fan2014_children_I00015	0.101657	0.044314	NA
Fan2014_children_I00016	0.081453	0.044277	NA
Fan2014_children_I00017	0.124823	0.044396	NA
Fan2014_children_I00018	0.045318	0.044189	NA
Fan2014_children_I00019	0.064251	0.044238	NA
Fan2014_children_I00020	0.104172	0.044345	NA
Fan2014_children_I00021	0.113101	0.044372	NA
Fan2014_children_I00022	0.120157	0.044375	NA
Fan2014_children_I00023	0.068115	0.044245	NA
Fan2014_children_I00024	0.088163	0.044303	NA
Fan2014_children_I00025	0.047540	0.044183	NA
Fan2014_children_I00026	0.144555	0.044446	NA
Fan2014_children_I00027	0.118715	0.044371	NA
Fan2014_children_I00028	0.129891	0.044411	NA
Fan2014_children_I00029	0.137784	0.044428	NA
Fan2014_children_I00030	0.124271	0.044372	NA
Fan2014_children_I00031	0.113773	0.044378	NA
Fan2014_children_I00032	0.112020	0.044356	NA
Fan2014_children_I00033	0.143681	0.044439	NA
Fan2014_children_I00034	0.093118	0.044297	NA
Fan2014_children_I00035	0.098205	0.044319	NA
Fan2014_children_I00036	0.111208	0.044344	NA
Fan2014_children_I00037	0.152404	0.044478	NA
Fan2014_children_I00038	0.071438	0.044245	NA
Fan2014_children_I00039	0.075246	0.044272	NA
Fan2014_children_I00040	0.134518	0.044437	NA
Fan2014_children_I00041	0.126720	0.044397	NA
Fan2014_children_I00042	0.100315	0.044329	NA
Fan2014_children_I00043	0.139661	0.044448	NA
Fan2014_children_I00044	0.136352	0.044418	NA
Fan2014_children_I00045	0.101265	0.044328	NA
Fan2014_children_I00046	0.090095	0.044302	NA
Fan2014_children_I00047	0.088336	0.044296	NA
Fan2014_children_I00048	0.113708	0.044353	NA
Fan2014_children_I00049	0.091845	0.044303	NA
Hansen2018_children_I00000	0.134959	0.005931	NA
Hansen2018_children_I00001	0.139514	0.005934	NA
Hansen2018_children_I00002	0.115245	0.005918	NA
Hansen2018_children_I00003	0.127851	0.005926	NA
Hansen2018_children_I00004	0.148793	0.005938	NA
Hansen2018_children_I00005	0.143377	0.005936	NA
Hansen2018_children_I00006	0.148657	0.005935	NA
Hansen2018_children_I00007	0.157743	0.005942	NA
Hansen2018_children_I00008	0.137141	0.005929	NA
Hansen2018_children_I00009	0.144646	0.005935	NA
Hansen2018_children_I00010	0.149060	0.005937	NA
Hansen2018_children_I00011	0.137986	0.005930	NA
Hansen2018_children_I00012	0.136081	0.005930	NA
Hansen2018_children_I00013	0.152178	0.005939	NA
Hansen2018_children_I00014	0.144303	0.005935	NA
Hansen2018_children_I00015	0.135246	0.005930	NA
Hansen2018_children_I00016	0.144205	0.005935	NA
Hansen2018_children_I00017	0.134318	0.005929	NA
Hansen2018_children_I00018	0.129058	0.005926	NA
Hansen2018_children_I00019	0.142081	0.005934	NA
Hansen2018_children_I00020	0.165534	0.005946	NA
Hansen2018_children_I00021	0.152884	0.005938	NA
Hansen2018_children_I00022	0.132432	0.005929	NA
Hansen2018_children_I00023	0.152062	0.005939	NA
Hansen2018_children_I00024	0.131256	0.005927	NA
Hansen2018_children_I00025	0.130340	0.005928	NA
Hansen2018_children_I00026	0.122997	0.005923	NA
Hansen2018_children_I00027	0.135468	0.005931	NA
Hansen2018_children_I00028	0.135593	0.005930	NA
Hansen2018_children_I00029	0.149306	0.005937	NA
Hansen2018_children_I00030	0.150312	0.005939	NA
Hansen2018_children_I00031	0.156358	0.005940	NA
Hansen2018_children_I00032	0.165152	0.005946	NA
Hansen2018_children_I00033	0.140839	0.005934	NA
Hansen2018_children_I00034	0.150896	0.005937	NA
Hansen2018_children_I00035	0.140947	0.005932	NA
Hansen2018_children_I00036	0.151232	0.005938	NA
Hansen2018_children_I00037	0.132581	0.005927	NA
Hansen2018_children_I00038	0.158733	0.005946	NA
Hansen2018_children_I00039	0.157176	0.005941	NA
Hansen2018_children_I00040	0.142538	0.005935	NA
Hansen2018_children_I00041	0.140954	0.005932	NA
Hansen2018_children_I00042	0.140365	0.005932	NA
Hansen2018_children_I00043	0.126972	0.005925	NA
Hansen2018_children_I00044	0.146839	0.005936	NA
Hansen2018_children_I00045	0.131655	0.005927	NA
Hansen2018_children_I00046	0.133692	0.005931	NA
Hansen2018_children_I00047	0.142520	0.005937	NA
Hansen2018_children_I00048	0.135648	0.005931	NA
Hansen2018_children_I00049	0.149821	0.005939	NA
Mincic2010_children_I00000	0.144485	0.029193	NA
Mincic2010_children_I00001	0.114947	0.029150	NA
Mincic2010_children_I00002	0.116283	0.029146	NA
Mincic2010_children_I00003	0.162022	0.029247	NA
Mincic2010_children_I00004	0.122693	0.029162	NA
Mincic2010_children_I00005	0.108441	0.029125	NA
Mincic2010_children_I00006	0.108609	0.029105	NA
Mincic2010_children_I00007	0.126299	0.029146	NA
Mincic2010_children_I00008	0.118812	0.029162	NA
Mincic2010_children_I00009	0.153004	0.029217	NA
Mincic2010_children_I00010	0.141563	0.029193	NA
Mincic2010_children_I00011	0.115454	0.029179	NA
Mincic2010_children_I00012	0.160438	0.029231	NA
Mincic2010_children_I00013	0.158104	0.029241	NA
Mincic2010_children_I00014	0.145135	0.029215	NA
Mincic2010_children_I00015	0.107033	0.029116	NA
Mincic2010_children_I00016	0.106762	0.029103	NA
Mincic2010_children_I00017	0.133954	0.029159	NA
Mincic2010_children_I00018	0.132550	0.029192	NA
Mincic2010_children_I00019	0.147456	0.029209	NA
Mincic2010_children_I00020	0.153699	0.029224	NA
Mincic2010_children_I00021	0.148749	0.029223	NA
Mincic2010_children_I00022	0.109751	0.029136	NA
Mincic2010_children_I00023	0.113478	0.029137	NA
Mincic2010_children_I00024	0.108545	0.029130	NA
Mincic2010_children_I00025	0.134322	0.029187	NA
Mincic2010_children_I00026	0.144603	0.029211	NA
Mincic2010_children_I00027	0.166155	0.029289	NA
Mincic2010_children_I00028	0.150571	0.029234	NA
Mincic2010_children_I00029	0.108929	0.029122	NA
Mincic2010_children_I00030	0.143883	0.029194	NA
Mincic2010_children_I00031	0.155142	0.029236	NA
Mincic2010_children_I00032	0.113143	0.029155	NA
Mincic2010_children_I00033	0.159225	0.029263	NA
Mincic2010_children_I00034	0.136369	0.029201	NA
Mincic2010_children_I00035	0.118331	0.029167	NA
Mincic2010_children_I00036	0.155400	0.029231	NA
Mincic2010_children_I00037	0.137355	0.029177	NA
Mincic2010_children_I00038	0.132628	0.029182	NA
Mincic2010_children_I00039	0.149479	0.029206	NA
Mincic2010_children_I00040	0.117768	0.029159	NA
Mincic2010_children_I00041	0.099369	0.029115	NA
Mincic2010_children_I00042	0.114433	0.029136	NA
Mincic2010_children_I00043	0.116444	0.029141	NA
Mincic2010_children_I00044	0.111670	0.029142	NA
Mincic2010_children_I00045	0.135396	0.029187	NA
Mincic2010_children_I00046	0.108528	0.029142	NA
Mincic2010_children_I00047	0.136965	0.029182	NA
Mincic2010_children_I00048	0.118080	0.029133	NA
Mincic2010_children_I00049	0.142910	0.029220	NA
Posner2011_children_I00000	0.262278	0.073176	NA
Posner2011_children_I00001	0.247180	0.072786	NA
Posner2011_children_I00002	0.199946	0.071990	NA
Posner2011_children_I00003	0.267058	0.073229	NA
Posner2011_children_I00004	0.319749	0.073907	NA
Posner2011_children_I00005	0.291967	0.073420	NA
Posner2011_children_I00006	0.309700	0.073608	NA
Posner2011_children_I00007	0.267177	0.073280	NA
Posner2011_children_I00008	0.252996	0.072814	NA
Posner2011_children_I00009	0.264694	0.073091	NA
Posner2011_children_I00010	0.256241	0.072872	NA
Posner2011_children_I00011	0.195940	0.072131	NA
Posner2011_children_I00012	0.275671	0.073241	NA
Posner2011_children_I00013	0.298561	0.073573	NA
Posner2011_children_I00014	0.266884	0.072955	NA
Posner2011_children_I00015	0.300796	0.073536	NA
Posner2011_children_I00016	0.250424	0.072495	NA
Posner2011_children_I00017	0.271944	0.073205	NA
Posner2011_children_I00018	0.231428	0.072234	NA
Posner2011_children_I00019	0.292863	0.073598	NA
Posner2011_children_I00020	0.260386	0.072844	NA
Posner2011_children_I00021	0.223718	0.072089	NA
Posner2011_children_I00022	0.180634	0.071669	NA
Posner2011_children_I00023	0.223374	0.072445	NA
Posner2011_children_I00024	0.232434	0.072810	NA
Posner2011_children_I00025	0.260846	0.072849	NA
Posner2011_children_I00026	0.294162	0.073470	NA
