item,age,n,gpos,gneg,laterality_pmn,Type
Aarts2008_adults.spm_tal.txt,21.2,12,103.09,94.94,0.04115538,-1
Andrews-Hanna2011_children.fsl_mni.txt,15.6,32,4.4747,12.4793,-0.472136369,1
Ansari2006_adults.other_tal.txt,21,14,50.2155,30.5044,0.244191333,1
Balodis2013_adults.spm_mni.txt,28.4,35,29.18,8.96,0.530152071,1
Barros-Loscertales2011_adults.spm_mni.txt,34.2,16,75.7446,37.5362,0.337289285,1
Basten2011_adults.spm_mni.txt,22.3,46,45.33,28.64,0.225632013,1
Bernal2009_children.fsl_tal.txt,14.67,18,94.1556,147.6112,-0.221103973,1
Brass2005_adults.spm_tal.txt,26,20,42.5775,41.7299,0.010053684,-1
Bunge2002_adults.spm_tal.txt,10,16,92.9212,85.0355,0.044312465,1
Bunge2002_children.spm_tal.txt,27,10,8.6719,13.4,-0.214213548,1
Bush1998_adults.other_tal.txt,30,8,25.5969,41.0513,-0.231880231,1
Bush2003_adults.other_tal.txt,24.2,9,34.1,24.8,0.157894737,-1
Cao2006_children.spm_mni.txt,11.5,14,55.4916,29.7442,0.302072603,0
Carp2012_adults.spm_mni.txt,39.8,21,32.66,35.13,-0.036436053,-1
Carter1995_adults.spm_tal.txt,34.3,15,21.2192,14.4387,0.190154215,1
Christensen2011_adults.other_tal.txt,25.9,26,15.16,15.02,0.004638834,1
Chuang2014_olders.fsl_mni.txt,64.6,60,26.5518,14.1007,0.306281287,1
Cieslik2010_adults.spm_mni.txt,29,24,18.6,12.4,0.2,-1
Coderre2008_adults.other_tal.txt,36,9,16.992,16.969,0.000677247,1
Dash2019_olders.spm_mni.txt,73.94,18,0,3.1,-1,1
deKieviet2014_children.fsl_tal.txt,8.7,47,0,1.6214,-1,1
Fan2003_adults.spm_tal.txt,11.2,23,55.3503,77.3215,-0.165605652,1
Fan2007_adults.spm_mni.txt,24.7,12,14.0939,18.8692,-0.144868049,1
Fan2008_adults.spm_mni.txt,27.2,16,20.1666,39.2137,-0.320764631,1
Fan2014_children.spm_mni.txt,26,19,1.9024,0,1,1
Fechir2010_adults.spm_mni.txt,23.8,16,0,63.32,-1,1
Fernandez2019_olders.spm_mni.txt,72.4,34,80.6633,58.677,0.157788522,1
Forstmann2008_adults.fsl_mni.txt,24.2,24,16.38,8.92,0.29486166,-1
Fruhholz2011_adults.spm_mni.txt,23.91,24,82.69,77.07,0.035177767,0
Gee2022_children.other_mni.txt,12.93,40,0,6.2,-1,0
George1994_adults.spm_tal.txt,38.4,21,8.6382,26.9996,-0.515222601,1
Georgiou-Karistianis2012_adults.fsl_mni.txt,33.7,13,71.74,85.02,-0.084715489,-1
Gianaros2007_olders.spm_mni.txt,68.04,46,19.66,38.28,-0.321366931,1
Gordon2015_olders.fsl_mni.txt,63.5,71,5.232,15.6251,-0.498300339,1
Grandjean2013_adults.spm_mni.txt,21.8,25,39.9514,162.4185,-0.605164602,1
Halari2009_children.spm_tal.txt,16.3,21,26.1146,11.2749,0.39689485,-1
Hansen2018_children.spm_mni.txt,16.2,171,50.82,36.09,0.169485675,1
Harrison2005_adults.spm_mni.txt,27.4,9,33.77,28.2158,0.089604393,1
Hazeltine2000_adults.spm_tal.txt,27,10,8.0363,25.4608,-0.520179359,1
Hazeltine2003_adults.spm_tal.txt,21,8,81.0354,35.0503,0.396130617,1
Huang2012_olders.spm_mni.txt,66.1,18,209.02,191.93,0.042623769,1
Ivanov2012_adults.spm_mni.txt,30.63,16,40.1806,7.6249,0.681003232,1
Jiang2014_adults.spm_mni.txt,21.3,21,30.96,48.81,-0.223768334,-1
Kerns2005_adults.other_tal.txt,24.2,26,21.7,18.6,0.076923077,1
Kerns2006_adults.fsl_tal.txt,35.6,13,6.2,9.3,-0.2,-1
Kim2012_adults.spm_mni.txt,23.6,16,376.55,635.12,-0.255587296,-1
Kim2014_adults.spm_mni.txt,25.3,18,83.4764,52.0002,0.232336802,1
Kim-Spoon2021_children.spm_mni.txt,16,151,35.6002,37.6824,-0.028413293,0
King2012_adults.spm_mni.txt,23.8,25,19.98,21.95,-0.046983067,1
Konrad2005_children.spm_tal.txt,10.1,16,6.2227,14.6484,-0.403701769,0
Korsch2014_adults.spm_mni.txt,22.95,20,35.0185,35.711,-0.009790823,-1
Korsch2014_olders.spm_mni.txt,70.26,19,13.02,23.18,-0.280662983,0
