map	estimate	variance	sdm_z
<i>&beta;</i><sub>0</sub>	0.222137	NA	NA
Hedges' <i>g</i>	0.196922	0.002660	3.818081
uncorrp	0.999933	NA	NA
uncorrp_neg	0.000067	NA	NA
MyLinearModel_Adult_minus_ChildOld_<i>&tau;</i><sup>2</sup>	0.009398	NA	NA
MyLinearModel_Adult_minus_ChildOld_<i>H</i><sup>2</sup>	1.236372	NA	NA
MyLinearModel_Adult_minus_ChildOld_<i>I</i><sup>2</sup>	19.118164	NA	NA
MyLinearModel_Adult_minus_ChildOld_<i>Q</i><sup>2</sup>	116.386093	NA	0.400389
corrp_voxel	0.999000	NA	NA
corrp_voxel_neg	0.000000	NA	NA
corrp_tfce	0.999000	NA	NA
corrp_tfce_neg	0.732000	NA	NA
Andrews-Hanna2011_children_I00000	-0.114012	0.031472	NA
Andrews-Hanna2011_children_I00001	-0.108190	0.031450	NA
Andrews-Hanna2011_children_I00002	0.222561	0.032097	NA
Andrews-Hanna2011_children_I00003	0.241837	0.032250	NA
Andrews-Hanna2011_children_I00004	0.232435	0.032173	NA
Andrews-Hanna2011_children_I00005	0.233445	0.032181	NA
Andrews-Hanna2011_children_I00006	0.238299	0.032221	NA
Andrews-Hanna2011_children_I00007	-0.112702	0.031467	NA
Andrews-Hanna2011_children_I00008	0.257541	0.032384	NA
Andrews-Hanna2011_children_I00009	0.237564	0.032215	NA
Andrews-Hanna2011_children_I00010	0.210185	0.032005	NA
Andrews-Hanna2011_children_I00011	-0.120443	0.031498	NA
Andrews-Hanna2011_children_I00012	0.261632	0.032420	NA
Andrews-Hanna2011_children_I00013	0.222392	0.032095	NA
Andrews-Hanna2011_children_I00014	-0.156127	0.031667	NA
Andrews-Hanna2011_children_I00015	-0.114211	0.031473	NA
Andrews-Hanna2011_children_I00016	0.240002	0.032234	NA
Andrews-Hanna2011_children_I00017	0.226545	0.032127	NA
Andrews-Hanna2011_children_I00018	-0.115181	0.031477	NA
Andrews-Hanna2011_children_I00019	-0.114688	0.031475	NA
Andrews-Hanna2011_children_I00020	0.212123	0.032019	NA
Andrews-Hanna2011_children_I00021	0.229306	0.032149	NA
Andrews-Hanna2011_children_I00022	-0.101830	0.031427	NA
Andrews-Hanna2011_children_I00023	0.203660	0.031959	NA
Andrews-Hanna2011_children_I00024	-0.112523	0.031466	NA
Andrews-Hanna2011_children_I00025	-0.105050	0.031439	NA
Andrews-Hanna2011_children_I00026	0.235252	0.032196	NA
Andrews-Hanna2011_children_I00027	-0.103195	0.031432	NA
Andrews-Hanna2011_children_I00028	0.243550	0.032264	NA
Andrews-Hanna2011_children_I00029	-0.118798	0.031491	NA
Andrews-Hanna2011_children_I00030	0.241993	0.032251	NA
Andrews-Hanna2011_children_I00031	-0.088444	0.031384	NA
Andrews-Hanna2011_children_I00032	0.223917	0.032107	NA
Andrews-Hanna2011_children_I00033	0.248191	0.032303	NA
Andrews-Hanna2011_children_I00034	-0.120291	0.031497	NA
Andrews-Hanna2011_children_I00035	0.244593	0.032272	NA
Andrews-Hanna2011_children_I00036	0.234042	0.032186	NA
Andrews-Hanna2011_children_I00037	0.250054	0.032319	NA
Andrews-Hanna2011_children_I00038	0.195607	0.031904	NA
Andrews-Hanna2011_children_I00039	0.240240	0.032236	NA
Andrews-Hanna2011_children_I00040	-0.122919	0.031508	NA
Andrews-Hanna2011_children_I00041	0.212212	0.032020	NA
Andrews-Hanna2011_children_I00042	0.222399	0.032095	NA
Andrews-Hanna2011_children_I00043	0.213828	0.032031	NA
Andrews-Hanna2011_children_I00044	0.221976	0.032092	NA
Andrews-Hanna2011_children_I00045	-0.103967	0.031435	NA
Andrews-Hanna2011_children_I00046	-0.110370	0.031458	NA
Andrews-Hanna2011_children_I00047	0.231721	0.032168	NA
Andrews-Hanna2011_children_I00048	-0.127113	0.031526	NA
Andrews-Hanna2011_children_I00049	-0.103958	0.031435	NA
deKieviet2014_children_I00000	0.240041	0.021927	NA
deKieviet2014_children_I00001	0.197648	0.021718	NA
deKieviet2014_children_I00002	-0.090752	0.021370	NA
deKieviet2014_children_I00003	0.214988	0.021799	NA
deKieviet2014_children_I00004	-0.092580	0.021373	NA
deKieviet2014_children_I00005	0.243019	0.021944	NA
deKieviet2014_children_I00006	0.177413	0.021632	NA
deKieviet2014_children_I00007	0.214207	0.021795	NA
deKieviet2014_children_I00008	-0.098473	0.021386	NA
deKieviet2014_children_I00009	0.171217	0.021608	NA
deKieviet2014_children_I00010	0.191242	0.021690	NA
deKieviet2014_children_I00011	0.197688	0.021718	NA
deKieviet2014_children_I00012	-0.063535	0.021322	NA
deKieviet2014_children_I00013	0.222140	0.021834	NA
deKieviet2014_children_I00014	-0.087943	0.021364	NA
deKieviet2014_children_I00015	0.212112	0.021785	NA
deKieviet2014_children_I00016	-0.087320	0.021363	NA
deKieviet2014_children_I00017	0.216117	0.021804	NA
deKieviet2014_children_I00018	-0.079794	0.021349	NA
deKieviet2014_children_I00019	0.209473	0.021772	NA
deKieviet2014_children_I00020	0.226453	0.021856	NA
deKieviet2014_children_I00021	0.200852	0.021732	NA
deKieviet2014_children_I00022	-0.080876	0.021350	NA
deKieviet2014_children_I00023	0.209055	0.021770	NA
deKieviet2014_children_I00024	0.192499	0.021695	NA
deKieviet2014_children_I00025	-0.091108	0.021370	NA
deKieviet2014_children_I00026	-0.070543	0.021333	NA
deKieviet2014_children_I00027	0.206802	0.021760	NA
deKieviet2014_children_I00028	0.217273	0.021810	NA
deKieviet2014_children_I00029	0.224285	0.021845	NA
deKieviet2014_children_I00030	0.228812	0.021868	NA
deKieviet2014_children_I00031	0.183118	0.021655	NA
deKieviet2014_children_I00032	0.211315	0.021781	NA
deKieviet2014_children_I00033	0.248222	0.021973	NA
deKieviet2014_children_I00034	-0.052287	0.021307	NA
deKieviet2014_children_I00035	-0.083923	0.021356	NA
deKieviet2014_children_I00036	-0.088427	0.021365	NA
deKieviet2014_children_I00037	0.197970	0.021719	NA
deKieviet2014_children_I00038	-0.066355	0.021326	NA
deKieviet2014_children_I00039	-0.069109	0.021331	NA
deKieviet2014_children_I00040	-0.086740	0.021362	NA
deKieviet2014_children_I00041	-0.111890	0.021418	NA
deKieviet2014_children_I00042	-0.095417	0.021379	NA
deKieviet2014_children_I00043	0.230982	0.021879	NA
deKieviet2014_children_I00044	0.205833	0.021755	NA
deKieviet2014_children_I00045	0.176396	0.021628	NA
deKieviet2014_children_I00046	-0.084341	0.021357	NA
deKieviet2014_children_I00047	0.201623	0.021736	NA
deKieviet2014_children_I00048	0.194964	0.021706	NA
deKieviet2014_children_I00049	0.194926	0.021706	NA
Fan2014_children_I00000	0.206303	0.044529	NA
Fan2014_children_I00001	0.169852	0.044190	NA
Fan2014_children_I00002	0.192373	0.044392	NA
Fan2014_children_I00003	-0.118903	0.043827	NA
Fan2014_children_I00004	0.183643	0.044311	NA
Fan2014_children_I00005	0.217221	0.044643	NA
Fan2014_children_I00006	-0.124860	0.043863	NA
Fan2014_children_I00007	-0.142304	0.043978	NA
Fan2014_children_I00008	0.210627	0.044573	NA
Fan2014_children_I00009	-0.124474	0.043861	NA
Fan2014_children_I00010	0.204852	0.044514	NA
Fan2014_children_I00011	-0.135282	0.043930	NA
Fan2014_children_I00012	-0.108934	0.043771	NA
Fan2014_children_I00013	-0.130288	0.043897	NA
Fan2014_children_I00014	0.190437	0.044373	NA
Fan2014_children_I00015	-0.135758	0.043933	NA
Fan2014_children_I00016	-0.111128	0.043783	NA
Fan2014_children_I00017	0.181370	0.044290	NA
Fan2014_children_I00018	0.192044	0.044389	NA
Fan2014_children_I00019	-0.123136	0.043852	NA
Fan2014_children_I00020	0.200960	0.044475	NA
Fan2014_children_I00021	-0.120766	0.043838	NA
Fan2014_children_I00022	0.176345	0.044246	NA
Fan2014_children_I00023	-0.148494	0.044022	NA
Fan2014_children_I00024	0.184099	0.044315	NA
Fan2014_children_I00025	-0.130982	0.043902	NA
Fan2014_children_I00026	0.197646	0.044442	NA
Fan2014_children_I00027	0.214214	0.044611	NA
Fan2014_children_I00028	-0.131036	0.043902	NA
Fan2014_children_I00029	0.207056	0.044536	NA
Fan2014_children_I00030	0.177740	0.044258	NA
Fan2014_children_I00031	0.193410	0.044402	NA
Fan2014_children_I00032	-0.127856	0.043882	NA
Fan2014_children_I00033	-0.136704	0.043939	NA
Fan2014_children_I00034	0.197768	0.044444	NA
Fan2014_children_I00035	0.203683	0.044502	NA
Fan2014_children_I00036	0.178394	0.044264	NA
Fan2014_children_I00037	-0.129107	0.043890	NA
Fan2014_children_I00038	-0.119059	0.043828	NA
Fan2014_children_I00039	0.195190	0.044419	NA
Fan2014_children_I00040	-0.128688	0.043887	NA
Fan2014_children_I00041	-0.138811	0.043954	NA
Fan2014_children_I00042	-0.120799	0.043838	NA
Fan2014_children_I00043	0.213790	0.044606	NA
Fan2014_children_I00044	0.202143	0.044487	NA
Fan2014_children_I00045	0.180120	0.044279	NA
Fan2014_children_I00046	0.188799	0.044358	NA
Fan2014_children_I00047	0.191437	0.044383	NA
Fan2014_children_I00048	-0.121894	0.043845	NA
Fan2014_children_I00049	0.202298	0.044488	NA
Hansen2018_children_I00000	0.148317	0.005913	NA
Hansen2018_children_I00001	0.156339	0.005920	NA
Hansen2018_children_I00002	-0.014613	0.005849	NA
Hansen2018_children_I00003	0.139385	0.005905	NA
Hansen2018_children_I00004	0.132717	0.005900	NA
Hansen2018_children_I00005	-0.026203	0.005850	NA
Hansen2018_children_I00006	0.151635	0.005916	NA
Hansen2018_children_I00007	0.146349	0.005911	NA
Hansen2018_children_I00008	0.148783	0.005913	NA
Hansen2018_children_I00009	-0.016462	0.005849	NA
Hansen2018_children_I00010	0.137429	0.005904	NA
Hansen2018_children_I00011	0.144336	0.005910	NA
Hansen2018_children_I00012	0.125813	0.005895	NA
Hansen2018_children_I00013	0.142761	0.005908	NA
Hansen2018_children_I00014	0.144565	0.005910	NA
Hansen2018_children_I00015	0.133861	0.005901	NA
Hansen2018_children_I00016	-0.024246	0.005850	NA
Hansen2018_children_I00017	0.138930	0.005905	NA
Hansen2018_children_I00018	0.145668	0.005911	NA
Hansen2018_children_I00019	0.132642	0.005900	NA
Hansen2018_children_I00020	0.151302	0.005916	NA
Hansen2018_children_I00021	-0.023868	0.005850	NA
Hansen2018_children_I00022	0.151703	0.005916	NA
Hansen2018_children_I00023	-0.002556	0.005848	NA
Hansen2018_children_I00024	0.159310	0.005923	NA
Hansen2018_children_I00025	0.142146	0.005908	NA
Hansen2018_children_I00026	0.143217	0.005909	NA
Hansen2018_children_I00027	0.135303	0.005902	NA
Hansen2018_children_I00028	0.143963	0.005909	NA
Hansen2018_children_I00029	0.147739	0.005912	NA
Hansen2018_children_I00030	0.130779	0.005899	NA
Hansen2018_children_I00031	0.121963	0.005892	NA
Hansen2018_children_I00032	0.158051	0.005922	NA
Hansen2018_children_I00033	-0.003516	0.005848	NA
Hansen2018_children_I00034	0.137952	0.005904	NA
Hansen2018_children_I00035	-0.015176	0.005849	NA
Hansen2018_children_I00036	-0.016424	0.005849	NA
Hansen2018_children_I00037	0.153824	0.005918	NA
Hansen2018_children_I00038	0.147738	0.005912	NA
Hansen2018_children_I00039	0.138458	0.005905	NA
Hansen2018_children_I00040	0.151689	0.005916	NA
Hansen2018_children_I00041	0.156257	0.005920	NA
Hansen2018_children_I00042	0.128603	0.005897	NA
Hansen2018_children_I00043	0.140970	0.005907	NA
Hansen2018_children_I00044	-0.026376	0.005850	NA
Hansen2018_children_I00045	0.143458	0.005909	NA
Hansen2018_children_I00046	-0.028553	0.005850	NA
Hansen2018_children_I00047	-0.018255	0.005849	NA
Hansen2018_children_I00048	0.153263	0.005917	NA
Hansen2018_children_I00049	-0.019520	0.005849	NA
