map	estimate	variance	sdm_z
<i>&beta;</i><sub>0</sub>	0.293342	NA	NA
Hedges' <i>g</i>	0.166894	0.002731	3.193674
uncorrp	0.999298	NA	NA
uncorrp_neg	0.000702	NA	NA
MyLinearModel_Adult_minus_ChildOld_<i>&tau;</i><sup>2</sup>	0.006735	NA	NA
MyLinearModel_Adult_minus_ChildOld_<i>H</i><sup>2</sup>	1.163289	NA	NA
MyLinearModel_Adult_minus_ChildOld_<i>I</i><sup>2</sup>	14.036821	NA	NA
MyLinearModel_Adult_minus_ChildOld_<i>Q</i><sup>2</sup>	92.587112	NA	-1.266195
corrp_voxel	0.999000	NA	NA
corrp_voxel_neg	0.000000	NA	NA
corrp_tfce	0.999000	NA	NA
corrp_tfce_neg	0.732000	NA	NA
Andrews-Hanna2011_children_I00000	0.387525	0.033817	NA
Andrews-Hanna2011_children_I00001	0.082503	0.031366	NA
Andrews-Hanna2011_children_I00002	0.051770	0.031296	NA
Andrews-Hanna2011_children_I00003	0.382093	0.033745	NA
Andrews-Hanna2011_children_I00004	0.075433	0.031347	NA
Andrews-Hanna2011_children_I00005	0.363523	0.033509	NA
Andrews-Hanna2011_children_I00006	0.366799	0.033549	NA
Andrews-Hanna2011_children_I00007	0.079519	0.031358	NA
Andrews-Hanna2011_children_I00008	0.376064	0.033667	NA
Andrews-Hanna2011_children_I00009	0.381084	0.033732	NA
Andrews-Hanna2011_children_I00010	0.382715	0.033753	NA
Andrews-Hanna2011_children_I00011	0.376409	0.033672	NA
Andrews-Hanna2011_children_I00012	0.390230	0.033853	NA
Andrews-Hanna2011_children_I00013	0.388689	0.033832	NA
Andrews-Hanna2011_children_I00014	0.071430	0.031337	NA
Andrews-Hanna2011_children_I00015	0.391765	0.033873	NA
Andrews-Hanna2011_children_I00016	0.074878	0.031346	NA
Andrews-Hanna2011_children_I00017	0.393758	0.033900	NA
Andrews-Hanna2011_children_I00018	0.387800	0.033820	NA
Andrews-Hanna2011_children_I00019	0.085536	0.031375	NA
Andrews-Hanna2011_children_I00020	0.077058	0.031351	NA
Andrews-Hanna2011_children_I00021	0.091626	0.031393	NA
Andrews-Hanna2011_children_I00022	0.078406	0.031355	NA
Andrews-Hanna2011_children_I00023	0.058831	0.031309	NA
Andrews-Hanna2011_children_I00024	0.057346	0.031306	NA
Andrews-Hanna2011_children_I00025	0.068728	0.031331	NA
Andrews-Hanna2011_children_I00026	0.080031	0.031359	NA
Andrews-Hanna2011_children_I00027	0.065465	0.031323	NA
Andrews-Hanna2011_children_I00028	0.079574	0.031358	NA
Andrews-Hanna2011_children_I00029	0.070501	0.031335	NA
Andrews-Hanna2011_children_I00030	0.366072	0.033540	NA
Andrews-Hanna2011_children_I00031	0.073994	0.031344	NA
Andrews-Hanna2011_children_I00032	0.383664	0.033766	NA
Andrews-Hanna2011_children_I00033	0.086104	0.031377	NA
Andrews-Hanna2011_children_I00034	0.065571	0.031323	NA
Andrews-Hanna2011_children_I00035	0.384749	0.033780	NA
Andrews-Hanna2011_children_I00036	0.383022	0.033757	NA
Andrews-Hanna2011_children_I00037	0.374830	0.033651	NA
Andrews-Hanna2011_children_I00038	0.380592	0.033726	NA
Andrews-Hanna2011_children_I00039	0.389030	0.033837	NA
Andrews-Hanna2011_children_I00040	0.049872	0.031293	NA
Andrews-Hanna2011_children_I00041	0.074344	0.031344	NA
Andrews-Hanna2011_children_I00042	0.094334	0.031402	NA
Andrews-Hanna2011_children_I00043	0.068010	0.031329	NA
Andrews-Hanna2011_children_I00044	0.078196	0.031355	NA
Andrews-Hanna2011_children_I00045	0.082033	0.031365	NA
Andrews-Hanna2011_children_I00046	0.375411	0.033659	NA
Andrews-Hanna2011_children_I00047	0.083018	0.031368	NA
Andrews-Hanna2011_children_I00048	0.053803	0.031299	NA
Andrews-Hanna2011_children_I00049	0.069624	0.031333	NA
deKieviet2014_children_I00000	0.256412	0.022019	NA
deKieviet2014_children_I00001	0.273605	0.022122	NA
deKieviet2014_children_I00002	0.273562	0.022122	NA
deKieviet2014_children_I00003	0.261135	0.022047	NA
deKieviet2014_children_I00004	0.284022	0.022188	NA
deKieviet2014_children_I00005	0.240187	0.021928	NA
deKieviet2014_children_I00006	0.310773	0.022367	NA
deKieviet2014_children_I00007	-0.026985	0.021285	NA
deKieviet2014_children_I00008	0.262084	0.022052	NA
deKieviet2014_children_I00009	-0.012209	0.021278	NA
deKieviet2014_children_I00010	0.270410	0.022103	NA
deKieviet2014_children_I00011	-0.059714	0.021317	NA
deKieviet2014_children_I00012	-0.037701	0.021293	NA
deKieviet2014_children_I00013	0.266433	0.022078	NA
