map	estimate	variance	sdm_z
<i>&beta;</i><sub>0</sub>	0.173908	NA	NA
Hedges' <i>g</i>	0.158397	0.002377	3.249073
uncorrp	0.999421	NA	NA
uncorrp_neg	0.000579	NA	NA
MyLinearModel_Adult_minus_ChildOld_<i>&tau;</i><sup>2</sup>	0.002027	NA	NA
MyLinearModel_Adult_minus_ChildOld_<i>H</i><sup>2</sup>	1.050001	NA	NA
MyLinearModel_Adult_minus_ChildOld_<i>I</i><sup>2</sup>	4.761961	NA	NA
MyLinearModel_Adult_minus_ChildOld_<i>Q</i><sup>2</sup>	92.406288	NA	-1.279906
corrp_voxel	0.999000	NA	NA
corrp_voxel_neg	0.000000	NA	NA
corrp_tfce	0.999000	NA	NA
corrp_tfce_neg	0.732000	NA	NA
Andrews-Hanna2011_children_I00000	-0.139956	0.031585	NA
Andrews-Hanna2011_children_I00001	-0.122129	0.031505	NA
Andrews-Hanna2011_children_I00002	0.215274	0.032042	NA
Andrews-Hanna2011_children_I00003	0.201786	0.031946	NA
Andrews-Hanna2011_children_I00004	-0.141499	0.031592	NA
Andrews-Hanna2011_children_I00005	-0.099780	0.031420	NA
Andrews-Hanna2011_children_I00006	0.209804	0.032002	NA
Andrews-Hanna2011_children_I00007	0.233915	0.032185	NA
Andrews-Hanna2011_children_I00008	0.244247	0.032270	NA
Andrews-Hanna2011_children_I00009	0.214662	0.032038	NA
Andrews-Hanna2011_children_I00010	0.191028	0.031874	NA
Andrews-Hanna2011_children_I00011	0.208423	0.031992	NA
Andrews-Hanna2011_children_I00012	-0.110921	0.031460	NA
Andrews-Hanna2011_children_I00013	0.243981	0.032267	NA
Andrews-Hanna2011_children_I00014	-0.113094	0.031469	NA
Andrews-Hanna2011_children_I00015	-0.124710	0.031516	NA
Andrews-Hanna2011_children_I00016	-0.124457	0.031515	NA
Andrews-Hanna2011_children_I00017	-0.149664	0.031633	NA
Andrews-Hanna2011_children_I00018	-0.128184	0.031531	NA
Andrews-Hanna2011_children_I00019	0.193334	0.031889	NA
Andrews-Hanna2011_children_I00020	-0.149936	0.031634	NA
Andrews-Hanna2011_children_I00021	-0.122634	0.031507	NA
Andrews-Hanna2011_children_I00022	-0.116724	0.031483	NA
Andrews-Hanna2011_children_I00023	0.217473	0.032058	NA
Andrews-Hanna2011_children_I00024	0.199229	0.031928	NA
Andrews-Hanna2011_children_I00025	0.225512	0.032119	NA
Andrews-Hanna2011_children_I00026	0.203851	0.031960	NA
Andrews-Hanna2011_children_I00027	-0.143881	0.031604	NA
Andrews-Hanna2011_children_I00028	-0.115641	0.031479	NA
Andrews-Hanna2011_children_I00029	0.234949	0.032193	NA
Andrews-Hanna2011_children_I00030	-0.124026	0.031513	NA
Andrews-Hanna2011_children_I00031	0.199755	0.031932	NA
Andrews-Hanna2011_children_I00032	0.198647	0.031924	NA
Andrews-Hanna2011_children_I00033	-0.143501	0.031602	NA
Andrews-Hanna2011_children_I00034	0.228192	0.032140	NA
Andrews-Hanna2011_children_I00035	-0.121340	0.031502	NA
Andrews-Hanna2011_children_I00036	0.222850	0.032099	NA
Andrews-Hanna2011_children_I00037	0.204255	0.031963	NA
Andrews-Hanna2011_children_I00038	0.205331	0.031971	NA
Andrews-Hanna2011_children_I00039	-0.145677	0.031613	NA
Andrews-Hanna2011_children_I00040	-0.117078	0.031484	NA
Andrews-Hanna2011_children_I00041	-0.167982	0.031732	NA
Andrews-Hanna2011_children_I00042	-0.134208	0.031558	NA
Andrews-Hanna2011_children_I00043	0.223492	0.032104	NA
Andrews-Hanna2011_children_I00044	0.198231	0.031922	NA
Andrews-Hanna2011_children_I00045	-0.107420	0.031447	NA
Andrews-Hanna2011_children_I00046	0.215478	0.032044	NA
Andrews-Hanna2011_children_I00047	0.224005	0.032108	NA
Andrews-Hanna2011_children_I00048	-0.108014	0.031449	NA
Andrews-Hanna2011_children_I00049	0.217641	0.032060	NA
deKieviet2014_children_I00000	-0.072511	0.021336	NA
deKieviet2014_children_I00001	-0.083490	0.021355	NA
deKieviet2014_children_I00002	-0.088234	0.021365	NA
deKieviet2014_children_I00003	-0.105137	0.021401	NA
deKieviet2014_children_I00004	0.214891	0.021798	NA
deKieviet2014_children_I00005	-0.092681	0.021374	NA
deKieviet2014_children_I00006	0.187292	0.021673	NA
deKieviet2014_children_I00007	0.192003	0.021693	NA
deKieviet2014_children_I00008	0.204980	0.021751	NA
deKieviet2014_children_I00009	0.213185	0.021790	NA
deKieviet2014_children_I00010	-0.119545	0.021438	NA
deKieviet2014_children_I00011	0.209604	0.021773	NA
deKieviet2014_children_I00012	-0.109380	0.021412	NA
deKieviet2014_children_I00013	0.187168	0.021672	NA
deKieviet2014_children_I00014	-0.116001	0.021429	NA
deKieviet2014_children_I00015	-0.099471	0.021388	NA
deKieviet2014_children_I00016	0.207503	0.021763	NA
deKieviet2014_children_I00017	0.174897	0.021622	NA
deKieviet2014_children_I00018	0.233565	0.021893	NA
deKieviet2014_children_I00019	0.208965	0.021770	NA
deKieviet2014_children_I00020	0.208413	0.021767	NA
deKieviet2014_children_I00021	-0.104031	0.021399	NA
deKieviet2014_children_I00022	-0.095551	0.021380	NA
deKieviet2014_children_I00023	0.193422	0.021699	NA
deKieviet2014_children_I00024	-0.106093	0.021404	NA
deKieviet2014_children_I00025	-0.098857	0.021387	NA
deKieviet2014_children_I00026	0.202187	0.021738	NA
deKieviet2014_children_I00027	-0.091761	0.021372	NA
deKieviet2014_children_I00028	-0.096343	0.021381	NA
deKieviet2014_children_I00029	-0.092236	0.021373	NA
deKieviet2014_children_I00030	0.173389	0.021616	NA
deKieviet2014_children_I00031	0.160868	0.021569	NA
deKieviet2014_children_I00032	0.183305	0.021656	NA
deKieviet2014_children_I00033	0.190978	0.021689	NA
deKieviet2014_children_I00034	0.181486	0.021649	NA
deKieviet2014_children_I00035	0.209174	0.021771	NA
deKieviet2014_children_I00036	-0.093023	0.021374	NA
deKieviet2014_children_I00037	0.189638	0.021683	NA
deKieviet2014_children_I00038	-0.109698	0.021413	NA
deKieviet2014_children_I00039	0.193903	0.021701	NA
deKieviet2014_children_I00040	-0.076359	0.021342	NA
deKieviet2014_children_I00041	0.162048	0.021573	NA
deKieviet2014_children_I00042	-0.068966	0.021330	NA
deKieviet2014_children_I00043	-0.117948	0.021434	NA
deKieviet2014_children_I00044	0.185202	0.021664	NA
deKieviet2014_children_I00045	-0.111076	0.021416	NA
deKieviet2014_children_I00046	0.196833	0.021714	NA
deKieviet2014_children_I00047	0.215133	0.021799	NA
deKieviet2014_children_I00048	-0.093700	0.021376	NA
deKieviet2014_children_I00049	0.204545	0.021749	NA
Fan2014_children_I00000	0.191823	0.044386	NA
Fan2014_children_I00001	-0.128614	0.043887	NA
Fan2014_children_I00002	0.194937	0.044416	NA
Fan2014_children_I00003	-0.136108	0.043935	NA
Fan2014_children_I00004	0.196563	0.044432	NA
Fan2014_children_I00005	-0.146054	0.044005	NA
Fan2014_children_I00006	0.202552	0.044491	NA
Fan2014_children_I00007	-0.153864	0.044063	NA
Fan2014_children_I00008	-0.140438	0.043965	NA
Fan2014_children_I00009	0.187678	0.044348	NA
Fan2014_children_I00010	0.177627	0.044257	NA
Fan2014_children_I00011	-0.124639	0.043862	NA
Fan2014_children_I00012	-0.134632	0.043926	NA
Fan2014_children_I00013	-0.140334	0.043964	NA
Fan2014_children_I00014	0.176755	0.044249	NA
Fan2014_children_I00015	0.172226	0.044210	NA
Fan2014_children_I00016	-0.144637	0.043995	NA
Fan2014_children_I00017	-0.135610	0.043932	NA
Fan2014_children_I00018	0.184754	0.044321	NA
Fan2014_children_I00019	0.198654	0.044452	NA
Fan2014_children_I00020	0.172321	0.044211	NA
Fan2014_children_I00021	-0.144017	0.043990	NA
Fan2014_children_I00022	0.196242	0.044429	NA
Fan2014_children_I00023	-0.145779	0.044003	NA
Fan2014_children_I00024	0.194109	0.044408	NA
Fan2014_children_I00025	-0.135170	0.043929	NA
Fan2014_children_I00026	-0.136589	0.043939	NA
Fan2014_children_I00027	0.178724	0.044267	NA
Fan2014_children_I00028	0.184900	0.044322	NA
Fan2014_children_I00029	-0.140213	0.043963	NA
Fan2014_children_I00030	0.197870	0.044445	NA
Fan2014_children_I00031	0.185432	0.044327	NA
Fan2014_children_I00032	0.187146	0.044343	NA
Fan2014_children_I00033	-0.141420	0.043972	NA
Fan2014_children_I00034	-0.137589	0.043945	NA
Fan2014_children_I00035	0.177990	0.044260	NA
Fan2014_children_I00036	-0.154399	0.044067	NA
Fan2014_children_I00037	-0.133332	0.043917	NA
Fan2014_children_I00038	0.171749	0.044206	NA
Fan2014_children_I00039	0.194723	0.044414	NA
Fan2014_children_I00040	0.170829	0.044199	NA
Fan2014_children_I00041	0.186543	0.044337	NA
Fan2014_children_I00042	-0.133781	0.043920	NA
Fan2014_children_I00043	0.180896	0.044286	NA
Fan2014_children_I00044	0.169896	0.044191	NA
Fan2014_children_I00045	0.190016	0.044369	NA
Fan2014_children_I00046	0.177217	0.044253	NA
Fan2014_children_I00047	0.192245	0.044390	NA
Fan2014_children_I00048	0.200068	0.044466	NA
Fan2014_children_I00049	0.197397	0.044440	NA
Hansen2018_children_I00000	0.138683	0.005905	NA
Hansen2018_children_I00001	-0.019259	0.005849	NA
Hansen2018_children_I00002	0.130483	0.005898	NA
Hansen2018_children_I00003	0.140006	0.005906	NA
Hansen2018_children_I00004	0.123559	0.005893	NA
Hansen2018_children_I00005	-0.020599	0.005849	NA
Hansen2018_children_I00006	0.146131	0.005911	NA
Hansen2018_children_I00007	-0.022830	0.005849	NA
Hansen2018_children_I00008	0.135026	0.005902	NA
Hansen2018_children_I00009	-0.014718	0.005849	NA
Hansen2018_children_I00010	0.141706	0.005907	NA
Hansen2018_children_I00011	0.128235	0.005897	NA
Hansen2018_children_I00012	0.140941	0.005907	NA
Hansen2018_children_I00013	-0.031701	0.005851	NA
Hansen2018_children_I00014	-0.010943	0.005848	NA
Hansen2018_children_I00015	-0.023183	0.005850	NA
Hansen2018_children_I00016	-0.023349	0.005850	NA
Hansen2018_children_I00017	-0.025090	0.005850	NA
Hansen2018_children_I00018	0.124150	0.005894	NA
Hansen2018_children_I00019	-0.003720	0.005848	NA
Hansen2018_children_I00020	0.141366	0.005907	NA
Hansen2018_children_I00021	0.136420	0.005903	NA
Hansen2018_children_I00022	-0.009418	0.005848	NA
Hansen2018_children_I00023	-0.030137	0.005851	NA
Hansen2018_children_I00024	0.127875	0.005896	NA
Hansen2018_children_I00025	0.131997	0.005899	NA
Hansen2018_children_I00026	-0.025236	0.005850	NA
Hansen2018_children_I00027	-0.017074	0.005849	NA
Hansen2018_children_I00028	0.130261	0.005898	NA
Hansen2018_children_I00029	-0.028216	0.005850	NA
Hansen2018_children_I00030	0.135463	0.005902	NA
Hansen2018_children_I00031	-0.023488	0.005850	NA
Hansen2018_children_I00032	0.130349	0.005898	NA
Hansen2018_children_I00033	-0.034737	0.005852	NA
Hansen2018_children_I00034	0.130062	0.005898	NA
Hansen2018_children_I00035	-0.016547	0.005849	NA
Hansen2018_children_I00036	-0.023551	0.005850	NA
Hansen2018_children_I00037	0.129996	0.005898	NA
Hansen2018_children_I00038	0.126970	0.005896	NA
Hansen2018_children_I00039	-0.039218	0.005852	NA
Hansen2018_children_I00040	0.134512	0.005901	NA
Hansen2018_children_I00041	0.119545	0.005890	NA
Hansen2018_children_I00042	-0.022054	0.005849	NA
Hansen2018_children_I00043	-0.017682	0.005849	NA
Hansen2018_children_I00044	0.132331	0.005900	NA
Hansen2018_children_I00045	0.127120	0.005896	NA
Hansen2018_children_I00046	-0.022817	0.005849	NA
Hansen2018_children_I00047	0.128912	0.005897	NA
Hansen2018_children_I00048	0.137994	0.005904	NA
Hansen2018_children_I00049	-0.017417	0.005849	NA
Mincic2010_children_I00000	-0.101468	0.028731	NA
Mincic2010_children_I00001	0.157118	0.028954	NA
Mincic2010_children_I00002	-0.110971	0.028762	NA
Mincic2010_children_I00003	0.148714	0.028914	NA
Mincic2010_children_I00004	0.171730	0.029029	NA
Mincic2010_children_I00005	0.144449	0.028895	NA
Mincic2010_children_I00006	0.159391	0.028965	NA
Mincic2010_children_I00007	-0.113290	0.028770	NA
Mincic2010_children_I00008	-0.096196	0.028715	NA
Mincic2010_children_I00009	-0.113248	0.028770	NA
Mincic2010_children_I00010	-0.112803	0.028769	NA
Mincic2010_children_I00011	-0.109718	0.028758	NA
Mincic2010_children_I00012	-0.106466	0.028747	NA
Mincic2010_children_I00013	0.146536	0.028904	NA
Mincic2010_children_I00014	-0.100171	0.028727	NA
Mincic2010_children_I00015	-0.095433	0.028713	NA
Mincic2010_children_I00016	0.147006	0.028906	NA
Mincic2010_children_I00017	0.143705	0.028892	NA
Mincic2010_children_I00018	-0.100975	0.028729	NA
Mincic2010_children_I00019	-0.113083	0.028770	NA
Mincic2010_children_I00020	-0.093006	0.028706	NA
Mincic2010_children_I00021	0.147210	0.028907	NA
Mincic2010_children_I00022	0.161599	0.028976	NA
Mincic2010_children_I00023	0.156228	0.028950	NA
Mincic2010_children_I00024	0.160273	0.028970	NA
Mincic2010_children_I00025	0.156544	0.028951	NA
Mincic2010_children_I00026	-0.111779	0.028765	NA
Mincic2010_children_I00027	0.149021	0.028916	NA
Mincic2010_children_I00028	-0.123778	0.028809	NA
Mincic2010_children_I00029	-0.115490	0.028778	NA
Mincic2010_children_I00030	-0.105864	0.028745	NA
Mincic2010_children_I00031	0.156457	0.028951	NA
Mincic2010_children_I00032	0.167040	0.029004	NA
Mincic2010_children_I00033	-0.108308	0.028753	NA
Mincic2010_children_I00034	-0.106524	0.028747	NA
Mincic2010_children_I00035	0.167473	0.029006	NA
Mincic2010_children_I00036	0.145449	0.028899	NA
Mincic2010_children_I00037	-0.112129	0.028766	NA
Mincic2010_children_I00038	0.152938	0.028934	NA
Mincic2010_children_I00039	0.160394	0.028970	NA
Mincic2010_children_I00040	0.156460	0.028951	NA
Mincic2010_children_I00041	0.167210	0.029005	NA
Mincic2010_children_I00042	0.152882	0.028934	NA
Mincic2010_children_I00043	-0.112692	0.028768	NA
Mincic2010_children_I00044	-0.117482	0.028785	NA
Mincic2010_children_I00045	0.149263	0.028917	NA
Mincic2010_children_I00046	0.150402	0.028922	NA
Mincic2010_children_I00047	0.154919	0.028943	NA
Mincic2010_children_I00048	0.142405	0.028886	NA
Mincic2010_children_I00049	0.153495	0.028937	NA
Posner2011_children_I00000	0.240898	0.069032	NA
Posner2011_children_I00001	0.279516	0.069852	NA
Posner2011_children_I00002	0.300505	0.070348	NA
Posner2011_children_I00003	0.386081	0.072743	NA
Posner2011_children_I00004	-0.173834	0.067899	NA
Posner2011_children_I00005	0.275635	0.069764	NA
Posner2011_children_I00006	0.426241	0.074073	NA
Posner2011_children_I00007	0.312404	0.070645	NA
Posner2011_children_I00008	0.284505	0.069966	NA
Posner2011_children_I00009	-0.169086	0.067832	NA
Posner2011_children_I00010	0.354024	0.071776	NA
Posner2011_children_I00011	0.330649	0.071123	NA
Posner2011_children_I00012	-0.158331	0.067689	NA
Posner2011_children_I00013	0.239192	0.068999	NA
Posner2011_children_I00014	0.300863	0.070357	NA
Posner2011_children_I00015	0.257447	0.069369	NA
Posner2011_children_I00016	0.320252	0.070848	NA
Posner2011_children_I00017	0.279139	0.069843	NA
Posner2011_children_I00018	-0.159183	0.067700	NA
Posner2011_children_I00019	0.272762	0.069700	NA
Posner2011_children_I00020	-0.112576	0.067183	NA
Posner2011_children_I00021	0.344753	0.071512	NA
Posner2011_children_I00022	0.338975	0.071351	NA
Posner2011_children_I00023	0.322736	0.070913	NA
Posner2011_children_I00024	0.351645	0.071707	NA
Posner2011_children_I00025	-0.115098	0.067207	NA
Posner2011_children_I00026	0.380078	0.072556	NA
Posner2011_children_I00027	-0.224488	0.068721	NA
Posner2011_children_I00028	-0.225102	0.068732	NA
Posner2011_children_I00029	0.270456	0.069648	NA
Posner2011_children_I00030	-0.221658	0.068670	NA
Posner2011_children_I00031	-0.219936	0.068639	NA
Posner2011_children_I00032	-0.253930	0.069295	NA
Posner2011_children_I00033	-0.119323	0.067247	NA
Posner2011_children_I00034	0.319438	0.070826	NA
Posner2011_children_I00035	0.348778	0.071626	NA
Posner2011_children_I00036	-0.179919	0.067986	NA
Posner2011_children_I00037	0.302055	0.070386	NA
Posner2011_children_I00038	-0.260033	0.069423	NA
Posner2011_children_I00039	-0.250948	0.069234	NA
Posner2011_children_I00040	0.308938	0.070557	NA
Posner2011_children_I00041	0.304091	0.070436	NA
Posner2011_children_I00042	0.349357	0.071642	NA
Posner2011_children_I00043	-0.137570	0.067438	NA
Posner2011_children_I00044	0.211822	0.068496	NA
Posner2011_children_I00045	-0.168990	0.067831	NA
Posner2011_children_I00046	0.328698	0.071071	NA
Posner2011_children_I00047	-0.273229	0.069710	NA
Posner2011_children_I00048	0.364051	0.072069	NA
Posner2011_children_I00049	0.306509	0.070496	NA
Rubia2006_children_I00000	-0.125322	0.036025	NA
Rubia2006_children_I00001	-0.141916	0.036113	NA
Rubia2006_children_I00002	0.214615	0.036626	NA
Rubia2006_children_I00003	-0.155967	0.036196	NA
Rubia2006_children_I00004	0.258954	0.037042	NA
Rubia2006_children_I00005	-0.147953	0.036148	NA
Rubia2006_children_I00006	-0.151601	0.036169	NA
Rubia2006_children_I00007	0.211913	0.036603	NA
Rubia2006_children_I00008	-0.153048	0.036178	NA
Rubia2006_children_I00009	-0.122732	0.036012	NA
Rubia2006_children_I00010	-0.161353	0.036230	NA
Rubia2006_children_I00011	0.217179	0.036648	NA
Rubia2006_children_I00012	-0.120516	0.036002	NA
Rubia2006_children_I00013	0.213751	0.036619	NA
Rubia2006_children_I00014	-0.151562	0.036169	NA
Rubia2006_children_I00015	-0.114311	0.035973	NA
Rubia2006_children_I00016	0.257696	0.037029	NA
Rubia2006_children_I00017	-0.148093	0.036148	NA
Rubia2006_children_I00018	0.224222	0.036710	NA
Rubia2006_children_I00019	0.265097	0.037105	NA
Rubia2006_children_I00020	-0.138482	0.036094	NA
Rubia2006_children_I00021	0.227489	0.036739	NA
Rubia2006_children_I00022	0.229493	0.036757	NA
Rubia2006_children_I00023	0.272332	0.037182	NA
Rubia2006_children_I00024	0.203173	0.036531	NA
