map	estimate	variance	sdm_z
<i>&beta;</i><sub>0</sub>	0.231624	NA	NA
Hedges' <i>g</i>	0.164684	0.002409	3.355077
uncorrp	0.999603	NA	NA
uncorrp_neg	0.000397	NA	NA
MyLinearModel_Adult_minus_ChildOld_<i>&tau;</i><sup>2</sup>	0.002770	NA	NA
MyLinearModel_Adult_minus_ChildOld_<i>H</i><sup>2</sup>	1.066344	NA	NA
MyLinearModel_Adult_minus_ChildOld_<i>I</i><sup>2</sup>	6.221622	NA	NA
MyLinearModel_Adult_minus_ChildOld_<i>Q</i><sup>2</sup>	83.994843	NA	-1.938907
corrp_voxel	0.999000	NA	NA
corrp_voxel_neg	0.000000	NA	NA
corrp_tfce	0.999000	NA	NA
corrp_tfce_neg	0.732000	NA	NA
Andrews-Hanna2011_children_I00000	-0.103397	0.031433	NA
Andrews-Hanna2011_children_I00001	-0.098916	0.031417	NA
Andrews-Hanna2011_children_I00002	0.224589	0.032112	NA
Andrews-Hanna2011_children_I00003	0.237193	0.032212	NA
Andrews-Hanna2011_children_I00004	0.251778	0.032333	NA
Andrews-Hanna2011_children_I00005	0.271655	0.032511	NA
Andrews-Hanna2011_children_I00006	0.266051	0.032460	NA
Andrews-Hanna2011_children_I00007	0.254748	0.032359	NA
Andrews-Hanna2011_children_I00008	-0.129387	0.031536	NA
Andrews-Hanna2011_children_I00009	0.218074	0.032063	NA
Andrews-Hanna2011_children_I00010	0.242668	0.032256	NA
Andrews-Hanna2011_children_I00011	-0.090264	0.031389	NA
Andrews-Hanna2011_children_I00012	0.247781	0.032299	NA
Andrews-Hanna2011_children_I00013	0.243064	0.032260	NA
Andrews-Hanna2011_children_I00014	-0.097678	0.031413	NA
Andrews-Hanna2011_children_I00015	-0.076752	0.031351	NA
Andrews-Hanna2011_children_I00016	-0.077638	0.031353	NA
Andrews-Hanna2011_children_I00017	-0.109909	0.031456	NA
Andrews-Hanna2011_children_I00018	-0.085807	0.031376	NA
Andrews-Hanna2011_children_I00019	-0.095303	0.031405	NA
Andrews-Hanna2011_children_I00020	-0.095434	0.031406	NA
Andrews-Hanna2011_children_I00021	-0.111349	0.031462	NA
Andrews-Hanna2011_children_I00022	0.246126	0.032285	NA
Andrews-Hanna2011_children_I00023	0.224915	0.032115	NA
Andrews-Hanna2011_children_I00024	0.228560	0.032143	NA
Andrews-Hanna2011_children_I00025	0.238912	0.032226	NA
Andrews-Hanna2011_children_I00026	0.252765	0.032342	NA
Andrews-Hanna2011_children_I00027	0.237040	0.032210	NA
Andrews-Hanna2011_children_I00028	0.248140	0.032302	NA
Andrews-Hanna2011_children_I00029	0.242946	0.032259	NA
Andrews-Hanna2011_children_I00030	-0.093604	0.031400	NA
Andrews-Hanna2011_children_I00031	-0.059292	0.031310	NA
Andrews-Hanna2011_children_I00032	0.213717	0.032031	NA
Andrews-Hanna2011_children_I00033	-0.131578	0.031546	NA
Andrews-Hanna2011_children_I00034	0.238854	0.032225	NA
Andrews-Hanna2011_children_I00035	0.261995	0.032423	NA
Andrews-Hanna2011_children_I00036	-0.106468	0.031444	NA
Andrews-Hanna2011_children_I00037	-0.078846	0.031356	NA
Andrews-Hanna2011_children_I00038	0.241605	0.032248	NA
Andrews-Hanna2011_children_I00039	0.246316	0.032287	NA
Andrews-Hanna2011_children_I00040	-0.067438	0.031328	NA
Andrews-Hanna2011_children_I00041	0.260376	0.032409	NA
Andrews-Hanna2011_children_I00042	-0.074834	0.031346	NA
Andrews-Hanna2011_children_I00043	-0.119575	0.031494	NA
Andrews-Hanna2011_children_I00044	-0.102495	0.031430	NA
Andrews-Hanna2011_children_I00045	0.251817	0.032334	NA
Andrews-Hanna2011_children_I00046	0.252246	0.032337	NA
Andrews-Hanna2011_children_I00047	-0.091944	0.031394	NA
Andrews-Hanna2011_children_I00048	0.250909	0.032326	NA
Andrews-Hanna2011_children_I00049	0.224080	0.032108	NA
deKieviet2014_children_I00000	0.230532	0.021877	NA
deKieviet2014_children_I00001	0.251307	0.021990	NA
deKieviet2014_children_I00002	-0.046862	0.021301	NA
deKieviet2014_children_I00003	0.250711	0.021987	NA
deKieviet2014_children_I00004	0.227779	0.021863	NA
deKieviet2014_children_I00005	-0.045878	0.021300	NA
deKieviet2014_children_I00006	0.248292	0.021973	NA
deKieviet2014_children_I00007	-0.089586	0.021367	NA
deKieviet2014_children_I00008	0.235972	0.021906	NA
deKieviet2014_children_I00009	0.229201	0.021870	NA
deKieviet2014_children_I00010	0.202607	0.021740	NA
deKieviet2014_children_I00011	0.202489	0.021740	NA
deKieviet2014_children_I00012	0.213164	0.021790	NA
deKieviet2014_children_I00013	-0.049480	0.021304	NA
deKieviet2014_children_I00014	0.232299	0.021886	NA
deKieviet2014_children_I00015	-0.033869	0.021290	NA
deKieviet2014_children_I00016	0.208407	0.021767	NA
deKieviet2014_children_I00017	-0.035997	0.021291	NA
deKieviet2014_children_I00018	0.223804	0.021842	NA
deKieviet2014_children_I00019	-0.068130	0.021329	NA
deKieviet2014_children_I00020	0.189721	0.021683	NA
deKieviet2014_children_I00021	-0.058661	0.021315	NA
deKieviet2014_children_I00022	-0.025717	0.021284	NA
deKieviet2014_children_I00023	0.238310	0.021918	NA
deKieviet2014_children_I00024	-0.078977	0.021347	NA
deKieviet2014_children_I00025	0.224415	0.021845	NA
deKieviet2014_children_I00026	0.195280	0.021707	NA
deKieviet2014_children_I00027	0.220786	0.021827	NA
deKieviet2014_children_I00028	0.241946	0.021938	NA
deKieviet2014_children_I00029	-0.060462	0.021318	NA
deKieviet2014_children_I00030	0.216093	0.021804	NA
deKieviet2014_children_I00031	0.222766	0.021837	NA
deKieviet2014_children_I00032	0.230008	0.021874	NA
deKieviet2014_children_I00033	0.244143	0.021950	NA
deKieviet2014_children_I00034	0.232159	0.021885	NA
deKieviet2014_children_I00035	-0.114945	0.021426	NA
deKieviet2014_children_I00036	0.213356	0.021791	NA
deKieviet2014_children_I00037	0.234028	0.021895	NA
deKieviet2014_children_I00038	-0.069632	0.021331	NA
deKieviet2014_children_I00039	0.203802	0.021746	NA
deKieviet2014_children_I00040	0.250642	0.021986	NA
deKieviet2014_children_I00041	0.273555	0.022122	NA
deKieviet2014_children_I00042	0.250092	0.021983	NA
deKieviet2014_children_I00043	0.235324	0.021902	NA
deKieviet2014_children_I00044	0.219025	0.021818	NA
deKieviet2014_children_I00045	0.242476	0.021941	NA
deKieviet2014_children_I00046	0.220779	0.021827	NA
deKieviet2014_children_I00047	0.236692	0.021909	NA
deKieviet2014_children_I00048	0.245221	0.021956	NA
deKieviet2014_children_I00049	0.236487	0.021908	NA
Fan2014_children_I00000	-0.106968	0.043761	NA
Fan2014_children_I00001	0.187885	0.044350	NA
Fan2014_children_I00002	0.216341	0.044633	NA
Fan2014_children_I00003	-0.110098	0.043777	NA
Fan2014_children_I00004	0.204278	0.044508	NA
Fan2014_children_I00005	0.201867	0.044484	NA
Fan2014_children_I00006	-0.103941	0.043745	NA
Fan2014_children_I00007	0.208843	0.044555	NA
Fan2014_children_I00008	0.195095	0.044418	NA
Fan2014_children_I00009	-0.122881	0.043851	NA
Fan2014_children_I00010	0.217773	0.044649	NA
Fan2014_children_I00011	0.193163	0.044399	NA
Fan2014_children_I00012	-0.112864	0.043793	NA
Fan2014_children_I00013	0.189306	0.044363	NA
Fan2014_children_I00014	-0.111947	0.043788	NA
Fan2014_children_I00015	0.203297	0.044498	NA
Fan2014_children_I00016	-0.124874	0.043863	NA
Fan2014_children_I00017	-0.115178	0.043806	NA
Fan2014_children_I00018	0.198763	0.044453	NA
Fan2014_children_I00019	0.181686	0.044293	NA
Fan2014_children_I00020	-0.127636	0.043880	NA
Fan2014_children_I00021	-0.128908	0.043888	NA
Fan2014_children_I00022	0.210103	0.044568	NA
Fan2014_children_I00023	-0.121105	0.043840	NA
Fan2014_children_I00024	-0.123672	0.043856	NA
Fan2014_children_I00025	0.202723	0.044493	NA
Fan2014_children_I00026	0.218487	0.044656	NA
Fan2014_children_I00027	-0.107303	0.043762	NA
Fan2014_children_I00028	-0.100960	0.043730	NA
Fan2014_children_I00029	0.203449	0.044500	NA
Fan2014_children_I00030	-0.105580	0.043753	NA
Fan2014_children_I00031	0.202819	0.044494	NA
Fan2014_children_I00032	0.209784	0.044564	NA
Fan2014_children_I00033	-0.120144	0.043835	NA
Fan2014_children_I00034	-0.096527	0.043708	NA
Fan2014_children_I00035	0.181109	0.044288	NA
Fan2014_children_I00036	-0.134086	0.043922	NA
Fan2014_children_I00037	0.175462	0.044238	NA
Fan2014_children_I00038	0.187814	0.044349	NA
Fan2014_children_I00039	0.226127	0.044740	NA
Fan2014_children_I00040	0.210860	0.044576	NA
Fan2014_children_I00041	0.189336	0.044363	NA
Fan2014_children_I00042	0.205496	0.044521	NA
Fan2014_children_I00043	0.198178	0.044448	NA
Fan2014_children_I00044	0.200760	0.044473	NA
Fan2014_children_I00045	-0.136290	0.043937	NA
Fan2014_children_I00046	0.207699	0.044543	NA
Fan2014_children_I00047	0.191403	0.044382	NA
Fan2014_children_I00048	0.204596	0.044511	NA
Fan2014_children_I00049	0.200061	0.044466	NA
Hansen2018_children_I00000	0.012389	0.005848	NA
Hansen2018_children_I00001	0.145871	0.005911	NA
Hansen2018_children_I00002	0.154907	0.005919	NA
Hansen2018_children_I00003	0.156578	0.005920	NA
Hansen2018_children_I00004	0.156247	0.005920	NA
Hansen2018_children_I00005	0.124366	0.005894	NA
Hansen2018_children_I00006	-0.004379	0.005848	NA
Hansen2018_children_I00007	0.150451	0.005915	NA
Hansen2018_children_I00008	0.007277	0.005848	NA
Hansen2018_children_I00009	0.143040	0.005908	NA
Hansen2018_children_I00010	0.147432	0.005912	NA
Hansen2018_children_I00011	0.166209	0.005930	NA
Hansen2018_children_I00012	0.147745	0.005912	NA
Hansen2018_children_I00013	0.153672	0.005918	NA
Hansen2018_children_I00014	-0.007977	0.005848	NA
Hansen2018_children_I00015	0.168080	0.005931	NA
Hansen2018_children_I00016	0.151616	0.005916	NA
Hansen2018_children_I00017	-0.013695	0.005849	NA
Hansen2018_children_I00018	0.155031	0.005919	NA
Hansen2018_children_I00019	0.168619	0.005932	NA
Hansen2018_children_I00020	0.011588	0.005848	NA
Hansen2018_children_I00021	0.165547	0.005929	NA
Hansen2018_children_I00022	-0.000268	0.005848	NA
Hansen2018_children_I00023	0.155063	0.005919	NA
Hansen2018_children_I00024	0.006352	0.005848	NA
Hansen2018_children_I00025	0.017477	0.005849	NA
Hansen2018_children_I00026	-0.008314	0.005848	NA
Hansen2018_children_I00027	0.156044	0.005920	NA
Hansen2018_children_I00028	0.003812	0.005848	NA
Hansen2018_children_I00029	0.164208	0.005928	NA
Hansen2018_children_I00030	0.149076	0.005914	NA
Hansen2018_children_I00031	0.152871	0.005917	NA
Hansen2018_children_I00032	0.004652	0.005848	NA
Hansen2018_children_I00033	0.004527	0.005848	NA
Hansen2018_children_I00034	0.149476	0.005914	NA
Hansen2018_children_I00035	0.162839	0.005926	NA
Hansen2018_children_I00036	0.152794	0.005917	NA
Hansen2018_children_I00037	0.159842	0.005923	NA
Hansen2018_children_I00038	-0.007578	0.005848	NA
Hansen2018_children_I00039	0.016201	0.005849	NA
Hansen2018_children_I00040	0.144437	0.005910	NA
Hansen2018_children_I00041	-0.002872	0.005848	NA
Hansen2018_children_I00042	0.152092	0.005916	NA
Hansen2018_children_I00043	-0.007646	0.005848	NA
Hansen2018_children_I00044	0.151422	0.005916	NA
Hansen2018_children_I00045	0.159548	0.005923	NA
Hansen2018_children_I00046	0.143245	0.005909	NA
Hansen2018_children_I00047	0.154932	0.005919	NA
Hansen2018_children_I00048	-0.005912	0.005848	NA
Hansen2018_children_I00049	0.158089	0.005922	NA
Mincic2010_children_I00000	0.159864	0.028968	NA
Mincic2010_children_I00001	0.166611	0.029002	NA
Mincic2010_children_I00002	0.172450	0.029032	NA
Mincic2010_children_I00003	0.173531	0.029038	NA
Mincic2010_children_I00004	0.174515	0.029044	NA
Mincic2010_children_I00005	-0.083240	0.028679	NA
Mincic2010_children_I00006	-0.084332	0.028682	NA
Mincic2010_children_I00007	-0.096771	0.028717	NA
Mincic2010_children_I00008	0.172790	0.029034	NA
Mincic2010_children_I00009	-0.089749	0.028696	NA
Mincic2010_children_I00010	0.169322	0.029016	NA
Mincic2010_children_I00011	-0.086022	0.028686	NA
Mincic2010_children_I00012	-0.098927	0.028723	NA
Mincic2010_children_I00013	0.162816	0.028982	NA
Mincic2010_children_I00014	0.173055	0.029036	NA
Mincic2010_children_I00015	0.162109	0.028979	NA
Mincic2010_children_I00016	-0.095393	0.028712	NA
Mincic2010_children_I00017	0.178418	0.029065	NA
Mincic2010_children_I00018	0.164155	0.028989	NA
Mincic2010_children_I00019	0.163379	0.028985	NA
Mincic2010_children_I00020	-0.092310	0.028704	NA
Mincic2010_children_I00021	0.184973	0.029102	NA
Mincic2010_children_I00022	0.177317	0.029059	NA
Mincic2010_children_I00023	0.175994	0.029052	NA
Mincic2010_children_I00024	0.164635	0.028992	NA
Mincic2010_children_I00025	0.172954	0.029035	NA
Mincic2010_children_I00026	0.172871	0.029035	NA
Mincic2010_children_I00027	-0.066424	0.028640	NA
Mincic2010_children_I00028	0.165354	0.028995	NA
Mincic2010_children_I00029	0.174919	0.029046	NA
Mincic2010_children_I00030	0.172661	0.029034	NA
Mincic2010_children_I00031	0.160653	0.028972	NA
Mincic2010_children_I00032	0.178740	0.029067	NA
Mincic2010_children_I00033	0.166824	0.029003	NA
Mincic2010_children_I00034	-0.096128	0.028715	NA
Mincic2010_children_I00035	0.178277	0.029064	NA
Mincic2010_children_I00036	-0.084493	0.028682	NA
Mincic2010_children_I00037	0.177376	0.029059	NA
Mincic2010_children_I00038	0.170396	0.029022	NA
Mincic2010_children_I00039	0.152406	0.028931	NA
Mincic2010_children_I00040	-0.084513	0.028682	NA
Mincic2010_children_I00041	0.165700	0.028997	NA
Mincic2010_children_I00042	0.164057	0.028989	NA
Mincic2010_children_I00043	0.166095	0.028999	NA
Mincic2010_children_I00044	-0.088301	0.028692	NA
Mincic2010_children_I00045	-0.086223	0.028687	NA
Mincic2010_children_I00046	0.186700	0.029112	NA
Mincic2010_children_I00047	-0.073290	0.028655	NA
Mincic2010_children_I00048	-0.081383	0.028674	NA
Mincic2010_children_I00049	0.159402	0.028965	NA
Posner2011_children_I00000	0.518394	0.077622	NA
Posner2011_children_I00001	-0.085990	0.066968	NA
Posner2011_children_I00002	0.501042	0.076900	NA
Posner2011_children_I00003	0.443917	0.074700	NA
Posner2011_children_I00004	0.406869	0.073415	NA
Posner2011_children_I00005	-0.070427	0.066869	NA
Posner2011_children_I00006	-0.104743	0.067114	NA
Posner2011_children_I00007	0.462047	0.075370	NA
Posner2011_children_I00008	0.439863	0.074554	NA
Posner2011_children_I00009	-0.119668	0.067250	NA
Posner2011_children_I00010	-0.029192	0.066701	NA
Posner2011_children_I00011	0.411626	0.073574	NA
Posner2011_children_I00012	0.025757	0.066694	NA
Posner2011_children_I00013	0.460599	0.075315	NA
Posner2011_children_I00014	0.436543	0.074435	NA
Posner2011_children_I00015	-0.027763	0.066698	NA
Posner2011_children_I00016	-0.092597	0.067016	NA
