map	estimate	variance	sdm_z
<i>&beta;</i><sub>0</sub>	0.158103	NA	NA
Hedges' <i>g</i>	0.153304	0.002395	3.132607
uncorrp	0.999134	NA	NA
uncorrp_neg	0.000866	NA	NA
MyLinearModel_Adult_minus_ChildOld_<i>&tau;</i><sup>2</sup>	0.000066	NA	NA
MyLinearModel_Adult_minus_ChildOld_<i>H</i><sup>2</sup>	1.001619	NA	NA
MyLinearModel_Adult_minus_ChildOld_<i>I</i><sup>2</sup>	0.161654	NA	NA
MyLinearModel_Adult_minus_ChildOld_<i>Q</i><sup>2</sup>	80.575531	NA	-2.219672
corrp_voxel	0.999000	NA	NA
corrp_voxel_neg	0.000000	NA	NA
corrp_tfce	0.999000	NA	NA
corrp_tfce_neg	0.732000	NA	NA
Andrews-Hanna2011_children_I00000	0.228500	0.032142	NA
Andrews-Hanna2011_children_I00001	0.221379	0.032088	NA
Andrews-Hanna2011_children_I00002	0.206963	0.031982	NA
Andrews-Hanna2011_children_I00003	0.229798	0.032153	NA
Andrews-Hanna2011_children_I00004	0.241080	0.032243	NA
Andrews-Hanna2011_children_I00005	0.191514	0.031877	NA
Andrews-Hanna2011_children_I00006	0.201571	0.031944	NA
Andrews-Hanna2011_children_I00007	0.208246	0.031991	NA
Andrews-Hanna2011_children_I00008	0.252974	0.032344	NA
Andrews-Hanna2011_children_I00009	0.186000	0.031841	NA
Andrews-Hanna2011_children_I00010	-0.140676	0.031588	NA
Andrews-Hanna2011_children_I00011	0.228083	0.032139	NA
Andrews-Hanna2011_children_I00012	-0.123667	0.031511	NA
Andrews-Hanna2011_children_I00013	-0.124309	0.031514	NA
Andrews-Hanna2011_children_I00014	0.178026	0.031792	NA
Andrews-Hanna2011_children_I00015	-0.112325	0.031466	NA
Andrews-Hanna2011_children_I00016	0.211020	0.032011	NA
Andrews-Hanna2011_children_I00017	0.213267	0.032027	NA
Andrews-Hanna2011_children_I00018	-0.136529	0.031569	NA
Andrews-Hanna2011_children_I00019	0.222720	0.032098	NA
Andrews-Hanna2011_children_I00020	-0.129558	0.031537	NA
Andrews-Hanna2011_children_I00021	-0.140734	0.031589	NA
Andrews-Hanna2011_children_I00022	0.235248	0.032196	NA
Andrews-Hanna2011_children_I00023	0.217814	0.032061	NA
Andrews-Hanna2011_children_I00024	0.218925	0.032069	NA
Andrews-Hanna2011_children_I00025	0.188755	0.031859	NA
Andrews-Hanna2011_children_I00026	0.200643	0.031938	NA
Andrews-Hanna2011_children_I00027	0.195551	0.031904	NA
Andrews-Hanna2011_children_I00028	0.223897	0.032107	NA
