map	estimate	variance	sdm_z
<i>&beta;</i><sub>0</sub>	0.193093	NA	NA
Hedges' <i>g</i>	0.150361	0.002656	2.917405
uncorrp	0.998235	NA	NA
uncorrp_neg	0.001765	NA	NA
MyLinearModel_Adult_minus_ChildOld_<i>&tau;</i><sup>2</sup>	0.004030	NA	NA
MyLinearModel_Adult_minus_ChildOld_<i>H</i><sup>2</sup>	1.100493	NA	NA
MyLinearModel_Adult_minus_ChildOld_<i>I</i><sup>2</sup>	9.131669	NA	NA
MyLinearModel_Adult_minus_ChildOld_<i>Q</i><sup>2</sup>	101.511902	NA	-0.610816
corrp_voxel	0.999000	NA	NA
corrp_voxel_neg	0.000000	NA	NA
corrp_tfce	0.999000	NA	NA
corrp_tfce_neg	0.732000	NA	NA
Andrews-Hanna2011_children_I00000	0.196853	0.031912	NA
Andrews-Hanna2011_children_I00001	0.207748	0.031988	NA
Andrews-Hanna2011_children_I00002	0.252591	0.032340	NA
Andrews-Hanna2011_children_I00003	-0.128995	0.031534	NA
Andrews-Hanna2011_children_I00004	-0.089312	0.031386	NA
Andrews-Hanna2011_children_I00005	-0.102702	0.031430	NA
Andrews-Hanna2011_children_I00006	0.227139	0.032132	NA
Andrews-Hanna2011_children_I00007	0.214308	0.032035	NA
Andrews-Hanna2011_children_I00008	-0.115129	0.031477	NA
Andrews-Hanna2011_children_I00009	0.210297	0.032006	NA
Andrews-Hanna2011_children_I00010	-0.132511	0.031550	NA
Andrews-Hanna2011_children_I00011	0.214843	0.032039	NA
Andrews-Hanna2011_children_I00012	0.203283	0.031956	NA
Andrews-Hanna2011_children_I00013	-0.148895	0.031629	NA
Andrews-Hanna2011_children_I00014	0.227545	0.032135	NA
Andrews-Hanna2011_children_I00015	-0.120358	0.031498	NA
Andrews-Hanna2011_children_I00016	0.227364	0.032134	NA
Andrews-Hanna2011_children_I00017	0.255020	0.032362	NA
Andrews-Hanna2011_children_I00018	0.211871	0.032017	NA
Andrews-Hanna2011_children_I00019	0.239579	0.032231	NA
Andrews-Hanna2011_children_I00020	0.208449	0.031993	NA
Andrews-Hanna2011_children_I00021	0.230282	0.032156	NA
Andrews-Hanna2011_children_I00022	0.232850	0.032177	NA
Andrews-Hanna2011_children_I00023	0.237624	0.032215	NA
Andrews-Hanna2011_children_I00024	0.215717	0.032045	NA
Andrews-Hanna2011_children_I00025	0.241419	0.032246	NA
Andrews-Hanna2011_children_I00026	0.234213	0.032188	NA
Andrews-Hanna2011_children_I00027	0.218355	0.032065	NA
Andrews-Hanna2011_children_I00028	-0.113862	0.031472	NA
Andrews-Hanna2011_children_I00029	0.229944	0.032154	NA
Andrews-Hanna2011_children_I00030	0.229651	0.032151	NA
Andrews-Hanna2011_children_I00031	0.211635	0.032015	NA
Andrews-Hanna2011_children_I00032	0.225097	0.032116	NA
Andrews-Hanna2011_children_I00033	0.229287	0.032149	NA
Andrews-Hanna2011_children_I00034	0.233554	0.032182	NA
Andrews-Hanna2011_children_I00035	-0.149472	0.031632	NA
Andrews-Hanna2011_children_I00036	-0.106017	0.031442	NA
Andrews-Hanna2011_children_I00037	-0.108692	0.031452	NA
Andrews-Hanna2011_children_I00038	0.216383	0.032050	NA
Andrews-Hanna2011_children_I00039	-0.121491	0.031502	NA
Andrews-Hanna2011_children_I00040	0.224193	0.032109	NA
Andrews-Hanna2011_children_I00041	0.238595	0.032223	NA
Andrews-Hanna2011_children_I00042	-0.109982	0.031457	NA
Andrews-Hanna2011_children_I00043	-0.139661	0.031583	NA
Andrews-Hanna2011_children_I00044	0.215800	0.032046	NA
Andrews-Hanna2011_children_I00045	0.233897	0.032185	NA
Andrews-Hanna2011_children_I00046	-0.106953	0.031445	NA
Andrews-Hanna2011_children_I00047	0.236521	0.032206	NA
Andrews-Hanna2011_children_I00048	-0.145583	0.031612	NA
Andrews-Hanna2011_children_I00049	0.221751	0.032090	NA
deKieviet2014_children_I00000	-0.078822	0.021347	NA
deKieviet2014_children_I00001	0.198293	0.021721	NA
deKieviet2014_children_I00002	0.206582	0.021759	NA
deKieviet2014_children_I00003	0.192290	0.021694	NA
deKieviet2014_children_I00004	-0.110807	0.021415	NA
deKieviet2014_children_I00005	-0.076326	0.021342	NA
deKieviet2014_children_I00006	-0.107358	0.021407	NA
deKieviet2014_children_I00007	0.215385	0.021801	NA
deKieviet2014_children_I00008	0.213212	0.021790	NA
deKieviet2014_children_I00009	0.199207	0.021725	NA
deKieviet2014_children_I00010	0.213863	0.021793	NA
deKieviet2014_children_I00011	0.205834	0.021755	NA
deKieviet2014_children_I00012	0.192162	0.021694	NA
deKieviet2014_children_I00013	0.199867	0.021728	NA
