study	n1	t_thr	avgAge	Age2	Age3	Adult_minus_ChildOld
Andrews-Hanna2011_children	32	2.744	15.6	243.36	3796.416	0
deKieviet2014_children	47	NA	8.7	75.69	658.503	0
Fan2014_children	23	1.7171	11.2	125.44	1404.928	0
Hansen2018_children	171	3.1389	16.2	262.44	4251.528	0
Mincic2010_children	35	1.6909	16.5	272.25	4492.125	0
Posner2011_children	15	4.985	13.4	179.56	2406.104	0
Rubia2006_children	28	3.0565	15	225	3375	0
Sheridan2014_children	33	1.6939	8.1	65.61	531.441	0
Tamm2002_children	14	1.7709	15.43	238.0849	3673.650007	0
vantEnt2009_children	18	1.7396	12	144	1728	0
Cao2006_children	14	3.852	11.5	132.25	1520.875	0
Margolis2017_children	55	1.6736	16.1	259.21	4173.281	0
Sebastian2021_children	58	3.2395	14	196	2744	0
Puetz2016_children	19	1.7341	12.91	166.6681	2151.685171	0
Liu2016_children	72	1.6666	13.9	193.21	2685.619	0
Gee2022_children	40	1.6849	12.93	167.1849	2161.700757	0
Kim-Spoon2021_children	151	1.6551	16	256	4096	0
Schulte2020_children	178	3.1369	16	256	4096	0
Bernal2009_children	18	2.5669	14.67	215.2089	3157.114563	0
Bunge2002_children	16	3.7328	10	100	1000	0
Halari2009_children	21	2.528	16.3	265.69	4330.747	0
Konrad2005_children	16	2.6025	10.1	102.01	1030.301	0
Zhu2010_adults	22	2.8314	20	400	8000	1
Mitchell2010_adults	28	3.421	20.2	408.04	8242.408	1
Terry2012_adults	20	3.054169	20.4	416.16	8489.664	1
Ye2009_adults	19	3.6105	21	441	9261	1
Ansari2006_adults	14	5.1106	21	441	9261	1
Hazeltine2000_adults	8	3.4995	21	441	9261	1
Aarts2008_adults	12	4.0247	21.2	449.44	9528.128	1
Piai2013_adults	23	3.505	21.2	449.44	9528.128	1
Ochsner2009_adults	16	3.7328	21.22	450.2884	9555.119848	1
Jiang2014_adults	21	3.5518	21.3	453.69	9663.597	1
Grandjean2013_adults	25	5.6082	21.8	475.24	10360.23	1
Basten2011_adults	46	3.2815	22.3	497.29	11089.567	1
Krebs2015_adults	14	3.852	22.5	506.25	11390.625	1
Korsch2014_adults	20	3.5794	22.95	526.7025	12087.82238	1
Li2015_adults	24	3.485	23	529	12167	1
Roelofs2006_adults	12	4.0247	23	529	12167	1
Milham2002_adults	12	1.7959	23	529	12167	1
Robertson2015_adults	16	2.73	23	529	12167	1
Mitchell2005_adults	15	3.7874	23.3	542.89	12649.337	1
Kim2012_adults	16	4.56	23.6	556.96	13144.256	1
King2012_adults	25	2.7969	23.8	566.44	13481.272	1
Fechir2010_adults	16	5.61	23.8	566.44	13481.272	1
Fruhholz2011_adults	24	3.485	23.91	571.6881	13669.06247	1
McNab2008_adults	14	3.852	24	576	13824	1
Forstmann2008_adults	24	3.4846	24.2	585.64	14172.488	1
Kerns2006_adults	26	2.7874	24.2	585.64	14172.488	1
Bush1998_adults	9	6.442	24.2	585.64	14172.488	1
Sebastian2013a_adults	21	3.5518	24.24	587.5776	14242.88102	1
Roberts2008_adults	16	3.09	24.3	590.49	14348.907	1
Fan2003_adults	12	2.1743	24.7	610.09	15069.223	1
Schulze2013_adults	8	3.4995	24.8	615.04	15252.992	1
Ullsperger2001_adults	12	4.0247	24.9	620.01	15438.249	1
Kim2014_adults	18	7.5603	25.3	640.09	16194.277	1
Zurawska2011_adults	18	3.6458	25.3	640.09	16194.277	1
Wittfoth2006_adults	20	4.6619	25.5	650.25	16581.375	1
Wittfoth2008_adults	15	3.9779	25.5	650.25	16581.375	1
Christensen2011_adults	26	2.7874	25.9	670.81	17373.979	1
Brass2005_adults	20	3.5794	26	676	17576	1
Fan2007_adults	19	2.5524	26	676	17576	1
Mead2002_adults	18	1.7396	26.7	712.89	19034.163	1
Weiss2007_adults	8	1.8946	26.89	723.0721	19443.40877	1
Bunge2002_adults	10	10.7202	27	729	19683	1
Hazeltine2003_adults	10	10.7202	27	729	19683	1
Fan2008_adults	16	2.6025	27.2	739.84	20123.648	1
Harrison2005_adults	9	4.5008	27.4	750.76	20570.824	1
Rubia2006_adults	23	3.1188	28	784	21952	1
Lutcke2009_adults	12	4.0247	28	784	21952	1
Zoccatelli2010_adults	10	6.2	28	784	21952	1
Soeda2005_adults	11	4.9964	28.1	789.61	22188.041	1
Cieslik2010_adults	24	1.7139	29	841	24389	1
Sommer2008_adults	12	4.0247	29.1	846.81	24642.171	1
Bush2003_adults	8	NA	30	900	27000	1
Nakao2005_adults	14	3.852	30.2	912.04	27543.608	1
