map	estimate	variance	sdm_z
<i>&beta;</i><sub>0</sub>	0.168029	NA	NA
Hedges' <i>g</i>	-0.003211	0.000597	-0.131442
uncorrp	0.447713	NA	NA
uncorrp_neg	0.552287	NA	NA
MyLinearModel_<i>&tau;</i><sup>2</sup>	0.003329	NA	NA
MyLinearModel_<i>H</i><sup>2</sup>	1.081229	NA	NA
MyLinearModel_<i>I</i><sup>2</sup>	7.512618	NA	NA
MyLinearModel_<i>Q</i><sup>2</sup>	114.167793	NA	-1.172780
corrp_voxel	0.000000	NA	NA
corrp_voxel_neg	-0.077000	NA	NA
corrp_tfce	0.000000	NA	NA
corrp_tfce_neg	0.000000	NA	NA
Andrews-Hanna2011_children_I00000	0.254894	0.032360	NA
Andrews-Hanna2011_children_I00001	0.300234	0.032791	NA
Andrews-Hanna2011_children_I00002	0.222882	0.032099	NA
Andrews-Hanna2011_children_I00003	0.258745	0.032394	NA
Andrews-Hanna2011_children_I00004	-0.047197	0.031288	NA
Andrews-Hanna2011_children_I00005	-0.076267	0.031349	NA
Andrews-Hanna2011_children_I00006	-0.090533	0.031390	NA
Andrews-Hanna2011_children_I00007	0.240358	0.032237	NA
Andrews-Hanna2011_children_I00008	-0.058259	0.031308	NA
Andrews-Hanna2011_children_I00009	0.293256	0.032720	NA
Andrews-Hanna2011_children_I00010	-0.037450	0.031274	NA
Andrews-Hanna2011_children_I00011	0.289095	0.032678	NA
Andrews-Hanna2011_children_I00012	0.229166	0.032148	NA
Andrews-Hanna2011_children_I00013	0.245590	0.032281	NA
Andrews-Hanna2011_children_I00014	-0.083901	0.031370	NA
Andrews-Hanna2011_children_I00015	-0.065213	0.031323	NA
Andrews-Hanna2011_children_I00016	0.277764	0.032569	NA
Andrews-Hanna2011_children_I00017	0.250845	0.032325	NA
Andrews-Hanna2011_children_I00018	0.246872	0.032292	NA
Andrews-Hanna2011_children_I00019	0.281053	0.032600	NA
Andrews-Hanna2011_children_I00020	0.290967	0.032697	NA
Andrews-Hanna2011_children_I00021	-0.097767	0.031413	NA
Andrews-Hanna2011_children_I00022	0.239709	0.032232	NA
Andrews-Hanna2011_children_I00023	-0.055002	0.031302	NA
Andrews-Hanna2011_children_I00024	-0.104346	0.031436	NA
Andrews-Hanna2011_children_I00025	0.240744	0.032241	NA
Andrews-Hanna2011_children_I00026	-0.074753	0.031346	NA
Andrews-Hanna2011_children_I00027	-0.057586	0.031307	NA
Andrews-Hanna2011_children_I00028	0.255161	0.032363	NA
Andrews-Hanna2011_children_I00029	0.273075	0.032524	NA
Andrews-Hanna2011_children_I00030	0.257414	0.032382	NA
Andrews-Hanna2011_children_I00031	0.289155	0.032679	NA
Andrews-Hanna2011_children_I00032	0.223957	0.032107	NA
Andrews-Hanna2011_children_I00033	0.226319	0.032125	NA
Andrews-Hanna2011_children_I00034	0.208860	0.031996	NA
Andrews-Hanna2011_children_I00035	0.284121	0.032630	NA
Andrews-Hanna2011_children_I00036	-0.050700	0.031294	NA
Andrews-Hanna2011_children_I00037	-0.031192	0.031267	NA
Andrews-Hanna2011_children_I00038	0.276418	0.032556	NA
Andrews-Hanna2011_children_I00039	0.277358	0.032565	NA
Andrews-Hanna2011_children_I00040	-0.039317	0.031276	NA
Andrews-Hanna2011_children_I00041	0.259815	0.032404	NA
Andrews-Hanna2011_children_I00042	-0.100746	0.031423	NA
Andrews-Hanna2011_children_I00043	-0.033500	0.031269	NA
Andrews-Hanna2011_children_I00044	-0.089189	0.031386	NA
Andrews-Hanna2011_children_I00045	0.241281	0.032245	NA
Andrews-Hanna2011_children_I00046	-0.060082	0.031312	NA
