map	estimate	variance	sdm_z
<i>&beta;</i><sub>0</sub>	0.243103	NA	NA
Hedges' <i>g</i>	0.062686	0.000711	2.373197
uncorrp	0.989016	NA	NA
uncorrp_neg	0.010983	NA	NA
MyLinearModel_<i>&tau;</i><sup>2</sup>	0.014293	NA	NA
MyLinearModel_<i>H</i><sup>2</sup>	1.344757	NA	NA
MyLinearModel_<i>I</i><sup>2</sup>	22.700512	NA	NA
MyLinearModel_<i>Q</i><sup>2</sup>	124.099777	NA	-0.591857
corrp_voxel	0.993574	NA	NA
corrp_voxel_neg	0.000000	NA	NA
corrp_tfce	0.980129	NA	NA
corrp_tfce_neg	0.000000	NA	NA
Andrews-Hanna2011_children_I00000	0.124116	0.032120	NA
Andrews-Hanna2011_children_I00001	0.231884	0.032428	NA
Andrews-Hanna2011_children_I00002	0.139729	0.032140	NA
Andrews-Hanna2011_children_I00003	0.175104	0.032226	NA
Andrews-Hanna2011_children_I00004	0.133032	0.032086	NA
Andrews-Hanna2011_children_I00005	0.093955	0.032156	NA
Andrews-Hanna2011_children_I00006	0.180364	0.032232	NA
Andrews-Hanna2011_children_I00007	0.123036	0.032154	NA
Andrews-Hanna2011_children_I00008	0.177061	0.032239	NA
Andrews-Hanna2011_children_I00009	0.200954	0.032339	NA
Andrews-Hanna2011_children_I00010	0.177253	0.032240	NA
Andrews-Hanna2011_children_I00011	0.176284	0.032254	NA
Andrews-Hanna2011_children_I00012	0.054989	0.031866	NA
Andrews-Hanna2011_children_I00013	0.114674	0.032007	NA
Andrews-Hanna2011_children_I00014	0.133246	0.032202	NA
Andrews-Hanna2011_children_I00015	0.059074	0.031879	NA
Andrews-Hanna2011_children_I00016	0.068623	0.031899	NA
Andrews-Hanna2011_children_I00017	0.133491	0.032151	NA
Andrews-Hanna2011_children_I00018	0.155900	0.032119	NA
Andrews-Hanna2011_children_I00019	0.134535	0.032139	NA
Andrews-Hanna2011_children_I00020	0.098138	0.032068	NA
Andrews-Hanna2011_children_I00021	0.093100	0.032096	NA
Andrews-Hanna2011_children_I00022	0.216807	0.032444	NA
Andrews-Hanna2011_children_I00023	0.168412	0.032203	NA
Andrews-Hanna2011_children_I00024	0.172090	0.032201	NA
Andrews-Hanna2011_children_I00025	0.224338	0.032455	NA
Andrews-Hanna2011_children_I00026	0.221341	0.032458	NA
Andrews-Hanna2011_children_I00027	0.085011	0.032007	NA
Andrews-Hanna2011_children_I00028	0.032957	0.031931	NA
Andrews-Hanna2011_children_I00029	0.132429	0.032118	NA
Andrews-Hanna2011_children_I00030	0.153925	0.032211	NA
Andrews-Hanna2011_children_I00031	0.104033	0.032046	NA
Andrews-Hanna2011_children_I00032	0.116028	0.032103	NA
Andrews-Hanna2011_children_I00033	0.053614	0.031917	NA
Andrews-Hanna2011_children_I00034	0.147788	0.032177	NA
Andrews-Hanna2011_children_I00035	0.062491	0.031894	NA
Andrews-Hanna2011_children_I00036	0.137565	0.032200	NA
Andrews-Hanna2011_children_I00037	0.121159	0.032087	NA
Andrews-Hanna2011_children_I00038	0.132660	0.032112	NA
Andrews-Hanna2011_children_I00039	0.150228	0.032052	NA
Andrews-Hanna2011_children_I00040	0.130153	0.032075	NA
Andrews-Hanna2011_children_I00041	0.060856	0.031983	NA
Andrews-Hanna2011_children_I00042	0.093216	0.032049	NA
Andrews-Hanna2011_children_I00043	0.226999	0.032387	NA
Andrews-Hanna2011_children_I00044	0.140320	0.032230	NA
Andrews-Hanna2011_children_I00045	0.095194	0.031973	NA
Andrews-Hanna2011_children_I00046	0.124940	0.032092	NA
Andrews-Hanna2011_children_I00047	0.147633	0.032053	NA
Andrews-Hanna2011_children_I00048	0.142071	0.032107	NA
Andrews-Hanna2011_children_I00049	0.200501	0.032282	NA
deKieviet2014_children_I00000	0.104436	0.021658	NA
deKieviet2014_children_I00001	0.128918	0.021703	NA
deKieviet2014_children_I00002	0.161701	0.021748	NA
deKieviet2014_children_I00003	0.116783	0.021713	NA
deKieviet2014_children_I00004	0.057959	0.021592	NA
deKieviet2014_children_I00005	0.103715	0.021668	NA
deKieviet2014_children_I00006	0.146245	0.021755	NA
deKieviet2014_children_I00007	0.129019	0.021741	NA
deKieviet2014_children_I00008	0.131850	0.021711	NA
deKieviet2014_children_I00009	0.125877	0.021716	NA
deKieviet2014_children_I00010	0.163850	0.021783	NA
deKieviet2014_children_I00011	0.124532	0.021719	NA
deKieviet2014_children_I00012	0.028414	0.021508	NA
deKieviet2014_children_I00013	0.170270	0.021825	NA
deKieviet2014_children_I00014	0.190306	0.021839	NA
deKieviet2014_children_I00015	0.206811	0.021869	NA
deKieviet2014_children_I00016	0.172365	0.021788	NA
deKieviet2014_children_I00017	0.141948	0.021760	NA
deKieviet2014_children_I00018	0.189640	0.021785	NA
deKieviet2014_children_I00019	0.182450	0.021802	NA
deKieviet2014_children_I00020	0.083371	0.021618	NA
deKieviet2014_children_I00021	0.119547	0.021721	NA
deKieviet2014_children_I00022	0.178384	0.021823	NA
deKieviet2014_children_I00023	0.094301	0.021675	NA
deKieviet2014_children_I00024	0.113815	0.021671	NA
deKieviet2014_children_I00025	0.067704	0.021642	NA
deKieviet2014_children_I00026	0.089494	0.021689	NA
deKieviet2014_children_I00027	0.161750	0.021773	NA
deKieviet2014_children_I00028	0.182399	0.021797	NA
deKieviet2014_children_I00029	0.081284	0.021621	NA
deKieviet2014_children_I00030	0.128564	0.021723	NA
deKieviet2014_children_I00031	0.094372	0.021658	NA
deKieviet2014_children_I00032	0.107856	0.021666	NA
deKieviet2014_children_I00033	0.150215	0.021772	NA
deKieviet2014_children_I00034	0.084814	0.021669	NA
deKieviet2014_children_I00035	0.080828	0.021633	NA
deKieviet2014_children_I00036	0.119095	0.021744	NA
deKieviet2014_children_I00037	0.041918	0.021577	NA
deKieviet2014_children_I00038	0.106736	0.021669	NA
deKieviet2014_children_I00039	0.132307	0.021725	NA
deKieviet2014_children_I00040	0.072446	0.021607	NA
deKieviet2014_children_I00041	0.127745	0.021694	NA
deKieviet2014_children_I00042	0.113258	0.021725	NA
deKieviet2014_children_I00043	0.143465	0.021760	NA
deKieviet2014_children_I00044	0.210231	0.021909	NA
deKieviet2014_children_I00045	0.103435	0.021668	NA
deKieviet2014_children_I00046	0.162289	0.021785	NA
deKieviet2014_children_I00047	0.149550	0.021741	NA
deKieviet2014_children_I00048	0.074401	0.021624	NA
deKieviet2014_children_I00049	0.110398	0.021660	NA
Fan2014_children_I00000	0.094459	0.044333	NA
Fan2014_children_I00001	0.049848	0.044299	NA
Fan2014_children_I00002	0.078493	0.044269	NA
Fan2014_children_I00003	0.056448	0.044257	NA
Fan2014_children_I00004	0.113860	0.044411	NA
Fan2014_children_I00005	0.128381	0.044378	NA
Fan2014_children_I00006	0.058749	0.044248	NA
Fan2014_children_I00007	0.001641	0.044167	NA
Fan2014_children_I00008	0.046201	0.044211	NA
Fan2014_children_I00009	0.054765	0.044245	NA
Fan2014_children_I00010	0.004157	0.044176	NA
Fan2014_children_I00011	0.093481	0.044355	NA
Fan2014_children_I00012	0.016592	0.044166	NA
Fan2014_children_I00013	0.131390	0.044400	NA
Fan2014_children_I00014	-0.007581	0.044106	NA
Fan2014_children_I00015	0.155055	0.044423	NA
Fan2014_children_I00016	0.077998	0.044333	NA
Fan2014_children_I00017	0.073505	0.044278	NA
Fan2014_children_I00018	0.055437	0.044210	NA
Fan2014_children_I00019	0.021725	0.044164	NA
Fan2014_children_I00020	0.096515	0.044332	NA
Fan2014_children_I00021	0.101060	0.044329	NA
Fan2014_children_I00022	0.113303	0.044341	NA
Fan2014_children_I00023	0.018938	0.044185	NA
Fan2014_children_I00024	0.033497	0.044172	NA
Fan2014_children_I00025	0.003515	0.044141	NA
Fan2014_children_I00026	0.130488	0.044424	NA
Fan2014_children_I00027	0.070333	0.044258	NA
Fan2014_children_I00028	0.121964	0.044343	NA
Fan2014_children_I00029	0.065471	0.044216	NA
Fan2014_children_I00030	0.146592	0.044488	NA
Fan2014_children_I00031	0.047279	0.044248	NA
Fan2014_children_I00032	0.069594	0.044257	NA
Fan2014_children_I00033	0.144534	0.044413	NA
Fan2014_children_I00034	0.131158	0.044401	NA
Fan2014_children_I00035	0.099792	0.044299	NA
Fan2014_children_I00036	0.120756	0.044282	NA
Fan2014_children_I00037	0.148446	0.044475	NA
Fan2014_children_I00038	0.010633	0.044201	NA
Fan2014_children_I00039	0.065970	0.044242	NA
Fan2014_children_I00040	0.119214	0.044408	NA
Fan2014_children_I00041	0.101230	0.044352	NA
Fan2014_children_I00042	0.135366	0.044484	NA
Fan2014_children_I00043	0.088063	0.044285	NA
Fan2014_children_I00044	0.124152	0.044297	NA
