map	estimate	variance	sdm_z
<i>&beta;</i><sub>0</sub>	0.137833	NA	NA
Hedges' <i>g</i>	0.020400	0.000556	0.858522
uncorrp	0.787641	NA	NA
uncorrp_neg	0.212359	NA	NA
MyLinearModel_<i>&tau;</i><sup>2</sup>	0.001356	NA	NA
MyLinearModel_<i>H</i><sup>2</sup>	1.033163	NA	NA
MyLinearModel_<i>I</i><sup>2</sup>	3.161266	NA	NA
MyLinearModel_<i>Q</i><sup>2</sup>	107.669411	NA	-1.628375
corrp_voxel	0.194182	NA	NA
corrp_voxel_neg	-0.007000	NA	NA
corrp_tfce	0.029000	NA	NA
corrp_tfce_neg	0.000000	NA	NA
Andrews-Hanna2011_children_I00000	0.252944	0.032344	NA
Andrews-Hanna2011_children_I00001	0.231685	0.032169	NA
Andrews-Hanna2011_children_I00002	0.204900	0.031968	NA
Andrews-Hanna2011_children_I00003	0.232656	0.032177	NA
Andrews-Hanna2011_children_I00004	-0.114649	0.031660	NA
Andrews-Hanna2011_children_I00005	0.206201	0.032137	NA
Andrews-Hanna2011_children_I00006	-0.078908	0.031508	NA
Andrews-Hanna2011_children_I00007	0.202473	0.032107	NA
Andrews-Hanna2011_children_I00008	0.230456	0.032159	NA
Andrews-Hanna2011_children_I00009	0.199404	0.032102	NA
Andrews-Hanna2011_children_I00010	-0.031573	0.031560	NA
Andrews-Hanna2011_children_I00011	-0.075130	0.031500	NA
Andrews-Hanna2011_children_I00012	0.231107	0.032164	NA
Andrews-Hanna2011_children_I00013	0.245125	0.032278	NA
Andrews-Hanna2011_children_I00014	-0.079258	0.031524	NA
Andrews-Hanna2011_children_I00015	-0.041607	0.031602	NA
Andrews-Hanna2011_children_I00016	0.210969	0.032013	NA
Andrews-Hanna2011_children_I00017	0.205058	0.032236	NA
Andrews-Hanna2011_children_I00018	-0.091129	0.031563	NA
Andrews-Hanna2011_children_I00019	-0.050307	0.031455	NA
Andrews-Hanna2011_children_I00020	0.031695	0.031752	NA
Andrews-Hanna2011_children_I00021	0.230410	0.032161	NA
Andrews-Hanna2011_children_I00022	0.206194	0.032145	NA
Andrews-Hanna2011_children_I00023	-0.082138	0.031523	NA
Andrews-Hanna2011_children_I00024	0.218292	0.032226	NA
Andrews-Hanna2011_children_I00025	-0.043873	0.031434	NA
Andrews-Hanna2011_children_I00026	0.262285	0.032426	NA
Andrews-Hanna2011_children_I00027	0.195792	0.032180	NA
Andrews-Hanna2011_children_I00028	-0.056487	0.031465	NA
