study	n1	t_thr	avgAge	Age2	Age3	genhaoAge	sbuject	Adult_minus_ChildOlder	Child_minus_AdultOlder	Older_minus_AdultChild	Adult_Child	Adult_Older	Child_Older	filter_AdultChild	filter_AdultOlder	filter_ChildOlder	filter_Child	filter_Adult	filter_Old
Andrews-Hanna2011_children	32	2.744	15.6	243.36	3796.416	3.949683532	child	-1	1	-1	-1	0	1	1	0	1	1	0	0
deKieviet2014_children	47	NA	8.7	75.69	658.503	2.949576241	child	-1	1	-1	-1	0	1	1	0	1	1	0	0
Fan2014_children	23	1.7171	11.2	125.44	1404.928	3.346640106	child	-1	1	-1	-1	0	1	1	0	1	1	0	0
Hansen2018_children	171	3.1389	16.2	262.44	4251.528	4.024922359	child	-1	1	-1	-1	0	1	1	0	1	1	0	0
Mincic2010_children	35	1.6909	16.5	272.25	4492.125	4.062019202	child	-1	1	-1	-1	0	1	1	0	1	1	0	0
Posner2011_children	15	4.985	13.4	179.56	2406.104	3.660601044	child	-1	1	-1	-1	0	1	1	0	1	1	0	0
Rubia2006_children	28	3.0565	15	225	3375	3.872983346	child	-1	1	-1	-1	0	1	1	0	1	1	0	0
Sheridan2014_children	33	1.6939	8.1	65.61	531.441	2.846049894	child	-1	1	-1	-1	0	1	1	0	1	1	0	0
Tamm2002_children	14	1.7709	15.43	238.0849	3673.650007	3.928103868	child	-1	1	-1	-1	0	1	1	0	1	1	0	0
vantEnt2009_children	18	1.7396	12	144	1728	3.464101615	child	-1	1	-1	-1	0	1	1	0	1	1	0	0
Cao2006_children	14	3.852	11.5	132.25	1520.875	3.391164992	child	-1	1	-1	-1	0	1	1	0	1	1	0	0
Margolis2017_children	55	1.6736	16.1	259.21	4173.281	4.01248053	child	-1	1	-1	-1	0	1	1	0	1	1	0	0
Sebastian2021_children	58	3.2395	14	196	2744	3.741657387	child	-1	1	-1	-1	0	1	1	0	1	1	0	0
Puetz2016_children	19	1.7341	12.91	166.6681	2151.685171	3.593048845	child	-1	1	-1	-1	0	1	1	0	1	1	0	0
Liu2016_children	72	1.6666	13.9	193.21	2685.619	3.728270376	child	-1	1	-1	-1	0	1	1	0	1	1	0	0
Gee2022_children	40	1.6849	12.93	167.1849	2161.700757	3.595830919	child	-1	1	-1	-1	0	1	1	0	1	1	0	0
Kim-Spoon2021_children	151	1.6551	16	256	4096	4	child	-1	1	-1	-1	0	1	1	0	1	1	0	0
Schulte2020_children	178	3.1369	16	256	4096	4	child	-1	1	-1	-1	0	1	1	0	1	1	0	0
Bernal2009_children	18	2.5669	14.67	215.2089	3157.114563	3.8301436	child	-1	1	-1	-1	0	1	1	0	1	1	0	0
Bunge2002_children	16	3.7328	10	100	1000	3.16227766	child	-1	1	-1	-1	0	1	1	0	1	1	0	0
Halari2009_children	21	2.528	16.3	265.69	4330.747	4.037325848	child	-1	1	-1	-1	0	1	1	0	1	1	0	0
Konrad2005_children	16	2.6025	10.1	102.01	1030.301	3.178049716	child	-1	1	-1	-1	0	1	1	0	1	1	0	0
Zhu2010_adults	22	2.8314	20	400	8000	4.472135955	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Mitchell2010_adults	28	3.421	20.2	408.04	8242.408	4.494441011	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Terry2012_adults	20	3.054169	20.4	416.16	8489.664	4.516635916	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Ye2009_adults	19	3.6105	21	441	9261	4.582575695	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Ansari2006_adults	14	5.1106	21	441	9261	4.582575695	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Hazeltine2000_adults	8	3.4995	21	441	9261	4.582575695	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Aarts2008_adults	12	4.0247	21.2	449.44	9528.128	4.604345773	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Piai2013_adults	23	3.505	21.2	449.44	9528.128	4.604345773	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Ochsner2009_adults	16	3.7328	21.22	450.2884	9555.119848	4.606517123	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Jiang2014_adults	21	3.5518	21.3	453.69	9663.597	4.615192304	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Grandjean2013_adults	25	5.6082	21.8	475.24	10360.23	4.669047012	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Basten2011_adults	46	3.2815	22.3	497.29	11089.567	4.722287581	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Krebs2015_adults	14	3.852	22.5	506.25	11390.625	4.74341649	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Korsch2014_adults	20	3.5794	22.95	526.7025	12087.82238	4.790615827	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Li2015_adults	24	3.485	23	529	12167	4.795831523	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Roelofs2006_adults	12	4.0247	23	529	12167	4.795831523	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Milham2002_adults	12	1.7959	23	529	12167	4.795831523	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
Robertson2015_adults	16	2.73	23	529	12167	4.795831523	adult	1	-1	-1	1	1	0	1	1	0	0	1	0
