map	estimate	variance	sdm_z
<i>&beta;</i><sub>0</sub>	0.157074	NA	NA
Hedges' <i>g</i>	-0.008420	0.000516	-0.370676
uncorrp	0.355439	NA	NA
uncorrp_neg	0.644561	NA	NA
MyLinearModel_<i>&tau;</i><sup>2</sup>	0.000230	NA	NA
MyLinearModel_<i>H</i><sup>2</sup>	1.005565	NA	NA
MyLinearModel_<i>I</i><sup>2</sup>	0.553438	NA	NA
MyLinearModel_<i>Q</i><sup>2</sup>	98.642357	NA	-2.279614
corrp_voxel	0.000000	NA	NA
corrp_voxel_neg	-0.077000	NA	NA
corrp_tfce	0.000000	NA	NA
corrp_tfce_neg	0.000000	NA	NA
Andrews-Hanna2011_children_I00000	0.265172	0.032452	NA
Andrews-Hanna2011_children_I00001	0.290447	0.032692	NA
Andrews-Hanna2011_children_I00002	0.301517	0.032804	NA
Andrews-Hanna2011_children_I00003	-0.066179	0.031325	NA
Andrews-Hanna2011_children_I00004	0.288349	0.032671	NA
Andrews-Hanna2011_children_I00005	-0.083654	0.031370	NA
Andrews-Hanna2011_children_I00006	0.280555	0.032595	NA
Andrews-Hanna2011_children_I00007	0.255527	0.032366	NA
Andrews-Hanna2011_children_I00008	0.235668	0.032199	NA
Andrews-Hanna2011_children_I00009	0.274666	0.032539	NA
Andrews-Hanna2011_children_I00010	0.258430	0.032391	NA
Andrews-Hanna2011_children_I00011	0.249139	0.032311	NA
Andrews-Hanna2011_children_I00012	-0.071608	0.031338	NA
Andrews-Hanna2011_children_I00013	0.250879	0.032326	NA
Andrews-Hanna2011_children_I00014	0.294628	0.032734	NA
Andrews-Hanna2011_children_I00015	0.273240	0.032526	NA
Andrews-Hanna2011_children_I00016	0.293313	0.032720	NA
Andrews-Hanna2011_children_I00017	0.288119	0.032669	NA
Andrews-Hanna2011_children_I00018	0.295254	0.032740	NA
Andrews-Hanna2011_children_I00019	0.259883	0.032404	NA
Andrews-Hanna2011_children_I00020	0.272665	0.032521	NA
Andrews-Hanna2011_children_I00021	-0.081039	0.031362	NA
Andrews-Hanna2011_children_I00022	-0.080855	0.031362	NA
Andrews-Hanna2011_children_I00023	0.262714	0.032430	NA
Andrews-Hanna2011_children_I00024	0.236897	0.032209	NA
Andrews-Hanna2011_children_I00025	-0.051798	0.031296	NA
Andrews-Hanna2011_children_I00026	0.239054	0.032227	NA
Andrews-Hanna2011_children_I00027	0.263732	0.032439	NA
