map	estimate	variance	sdm_z
<i>&beta;</i><sub>0</sub>	0.260676	NA	NA
Hedges' <i>g</i>	0.070611	0.000635	2.820370
uncorrp	0.997149	NA	NA
uncorrp_neg	0.002851	NA	NA
MyLinearModel_<i>&tau;</i><sup>2</sup>	0.007938	NA	NA
MyLinearModel_<i>H</i><sup>2</sup>	1.185430	NA	NA
MyLinearModel_<i>I</i><sup>2</sup>	13.137786	NA	NA
MyLinearModel_<i>Q</i><sup>2</sup>	109.315544	NA	-1.120988
corrp_voxel	0.998995	NA	NA
corrp_voxel_neg	0.000000	NA	NA
corrp_tfce	0.998995	NA	NA
corrp_tfce_neg	0.554001	NA	NA
Aarts2008_adults_I00000	0.716866	0.119216	NA
Aarts2008_adults_I00001	0.760159	0.122439	NA
Aarts2008_adults_I00002	0.707604	0.118874	NA
Aarts2008_adults_I00003	0.730740	0.121204	NA
Aarts2008_adults_I00004	0.787877	0.123494	NA
Aarts2008_adults_I00005	0.687956	0.116855	NA
Aarts2008_adults_I00006	0.725393	0.119696	NA
Aarts2008_adults_I00007	0.756335	0.122104	NA
Aarts2008_adults_I00008	0.800978	0.125097	NA
Aarts2008_adults_I00009	0.749545	0.121503	NA
Aarts2008_adults_I00010	0.689131	0.116966	NA
Aarts2008_adults_I00011	0.731832	0.120140	NA
Aarts2008_adults_I00012	0.700844	0.118983	NA
Aarts2008_adults_I00013	0.769153	0.122921	NA
Aarts2008_adults_I00014	0.713125	0.118837	NA
Aarts2008_adults_I00015	0.757002	0.122318	NA
Aarts2008_adults_I00016	0.695158	0.117508	NA
Aarts2008_adults_I00017	0.735785	0.120890	NA
Aarts2008_adults_I00018	0.668899	0.115300	NA
Aarts2008_adults_I00019	0.730959	0.119411	NA
Aarts2008_adults_I00020	0.695161	0.116813	NA
Aarts2008_adults_I00021	0.644203	0.114550	NA
Aarts2008_adults_I00022	0.716295	0.119963	NA
Aarts2008_adults_I00023	0.724300	0.120331	NA
Aarts2008_adults_I00024	0.787350	0.123562	NA
Aarts2008_adults_I00025	0.714892	0.119910	NA
Aarts2008_adults_I00026	0.767495	0.123899	NA
Aarts2008_adults_I00027	0.764481	0.121743	NA
Aarts2008_adults_I00028	0.727984	0.120101	NA
Aarts2008_adults_I00029	0.752064	0.121147	NA
Aarts2008_adults_I00030	0.730780	0.119985	NA
Aarts2008_adults_I00031	0.660416	0.115668	NA
Aarts2008_adults_I00032	0.768495	0.123151	NA
Aarts2008_adults_I00033	0.731646	0.120639	NA
Aarts2008_adults_I00034	0.765246	0.121674	NA
