map	estimate	variance	sdm_z
<i>&beta;</i><sub>0</sub>	0.146205	NA	NA
Hedges' <i>g</i>	0.009594	0.000549	0.411178
uncorrp	0.656751	NA	NA
uncorrp_neg	0.343249	NA	NA
MyLinearModel_<i>&tau;</i><sup>2</sup>	0.000796	NA	NA
MyLinearModel_<i>H</i><sup>2</sup>	1.019152	NA	NA
MyLinearModel_<i>I</i><sup>2</sup>	1.786579	NA	NA
MyLinearModel_<i>Q</i><sup>2</sup>	97.104950	NA	-1.952938
corrp_voxel	0.002700	NA	NA
corrp_voxel_neg	0.000000	NA	NA
corrp_tfce	0.999000	NA	NA
corrp_tfce_neg	0.554000	NA	NA
Aarts2008_adults_I00000	0.407367	0.092302	NA
Aarts2008_adults_I00001	0.299282	0.088982	NA
Aarts2008_adults_I00002	0.354989	0.090205	NA
Aarts2008_adults_I00003	-0.109433	0.084939	NA
Aarts2008_adults_I00004	-0.152383	0.084676	NA
Aarts2008_adults_I00005	-0.187849	0.086120	NA
Aarts2008_adults_I00006	0.372744	0.090864	NA
Aarts2008_adults_I00007	0.389485	0.092279	NA
Aarts2008_adults_I00008	-0.129822	0.085099	NA
Aarts2008_adults_I00009	0.392814	0.091681	NA
Aarts2008_adults_I00010	-0.172248	0.084937	NA
Aarts2008_adults_I00011	0.447885	0.094189	NA
Aarts2008_adults_I00012	0.310050	0.089451	NA
Aarts2008_adults_I00013	-0.163697	0.084796	NA
Aarts2008_adults_I00014	0.389968	0.092467	NA
Aarts2008_adults_I00015	-0.157006	0.085451	NA
Aarts2008_adults_I00016	0.386922	0.092194	NA
Aarts2008_adults_I00017	0.365434	0.090566	NA
Aarts2008_adults_I00018	0.288733	0.090693	NA
Aarts2008_adults_I00019	0.144535	0.088269	NA
Aarts2008_adults_I00020	0.367215	0.090618	NA
Aarts2008_adults_I00021	0.496161	0.096633	NA
Aarts2008_adults_I00022	0.414171	0.092607	NA
Aarts2008_adults_I00023	0.441019	0.093835	NA
Aarts2008_adults_I00024	0.403263	0.092130	NA
Aarts2008_adults_I00025	0.279788	0.090273	NA
Aarts2008_adults_I00026	0.413622	0.092597	NA
Aarts2008_adults_I00027	0.310056	0.091569	NA
Aarts2008_adults_I00028	-0.139662	0.085297	NA
Aarts2008_adults_I00029	0.405237	0.093025	NA
Aarts2008_adults_I00030	0.351865	0.092286	NA
Aarts2008_adults_I00031	0.423943	0.093038	NA
Aarts2008_adults_I00032	0.392361	0.091670	NA
Aarts2008_adults_I00033	0.324784	0.089848	NA
Aarts2008_adults_I00034	0.308537	0.089452	NA
Aarts2008_adults_I00035	-0.192349	0.085339	NA
Aarts2008_adults_I00036	-0.192100	0.085332	NA
Aarts2008_adults_I00037	-0.108288	0.084772	NA
Aarts2008_adults_I00038	0.240083	0.089626	NA
Aarts2008_adults_I00039	-0.101617	0.084673	NA
Aarts2008_adults_I00040	0.415771	0.092695	NA
Aarts2008_adults_I00041	0.377512	0.091967	NA
Aarts2008_adults_I00042	-0.167755	0.084885	NA
Aarts2008_adults_I00043	-0.123235	0.084966	NA
Aarts2008_adults_I00044	0.405525	0.092228	NA
Aarts2008_adults_I00045	0.152636	0.088265	NA
Aarts2008_adults_I00046	-0.146543	0.085310	NA
Aarts2008_adults_I00047	-0.191786	0.085368	NA
Aarts2008_adults_I00048	-0.119107	0.085127	NA
Aarts2008_adults_I00049	0.352074	0.090035	NA
Adleman2002_adults_I00000	-0.161938	0.093135	NA
Adleman2002_adults_I00001	0.277008	0.095550	NA
Adleman2002_adults_I00002	0.272823	0.095410	NA
Adleman2002_adults_I00003	0.260211	0.095644	NA
Adleman2002_adults_I00004	-0.192188	0.093145	NA
Adleman2002_adults_I00005	-0.174758	0.093406	NA
Adleman2002_adults_I00006	-0.186972	0.093026	NA
Adleman2002_adults_I00007	0.254560	0.095445	NA
Adleman2002_adults_I00008	0.274507	0.095465	NA
Adleman2002_adults_I00009	0.285785	0.096517	NA
Adleman2002_adults_I00010	0.289376	0.095973	NA
Adleman2002_adults_I00011	0.255241	0.095502	NA
Adleman2002_adults_I00012	0.273207	0.095421	NA
Adleman2002_adults_I00013	0.280298	0.095661	NA
Adleman2002_adults_I00014	0.273309	0.095426	NA
Adleman2002_adults_I00015	0.286396	0.095871	NA
Adleman2002_adults_I00016	-0.158056	0.093102	NA
Adleman2002_adults_I00017	-0.166326	0.092587	NA
Adleman2002_adults_I00018	-0.168489	0.092630	NA
Adleman2002_adults_I00019	0.298299	0.096289	NA
Adleman2002_adults_I00020	0.250546	0.095384	NA
Adleman2002_adults_I00021	-0.190967	0.093116	NA
Adleman2002_adults_I00022	0.278550	0.095600	NA
Adleman2002_adults_I00023	0.268858	0.095283	NA
Adleman2002_adults_I00024	-0.168128	0.093262	NA
Adleman2002_adults_I00025	0.247939	0.095276	NA
Adleman2002_adults_I00026	0.280759	0.095677	NA
Adleman2002_adults_I00027	0.283531	0.095773	NA
Adleman2002_adults_I00028	0.266004	0.095187	NA
Adleman2002_adults_I00029	-0.168801	0.093256	NA
Adleman2002_adults_I00030	-0.167266	0.093279	NA
Adleman2002_adults_I00031	-0.154813	0.093010	NA
Adleman2002_adults_I00032	0.264254	0.095131	NA
Adleman2002_adults_I00033	0.260744	0.095651	NA
Adleman2002_adults_I00034	-0.113409	0.093422	NA
Adleman2002_adults_I00035	0.253924	0.095490	NA
Adleman2002_adults_I00036	0.271989	0.095388	NA
Adleman2002_adults_I00037	0.226829	0.094676	NA
Adleman2002_adults_I00038	0.294741	0.096164	NA
Adleman2002_adults_I00039	0.274042	0.095448	NA
Adleman2002_adults_I00040	0.302748	0.096450	NA
Adleman2002_adults_I00041	0.311205	0.096767	NA
Adleman2002_adults_I00042	0.269815	0.095939	NA
Adleman2002_adults_I00043	0.281607	0.095704	NA
Adleman2002_adults_I00044	0.252455	0.095397	NA
Adleman2002_adults_I00045	-0.172977	0.093304	NA
Adleman2002_adults_I00046	0.256944	0.095533	NA
Adleman2002_adults_I00047	-0.168391	0.093265	NA
Adleman2002_adults_I00048	-0.170799	0.093295	NA
Adleman2002_adults_I00049	0.291975	0.096067	NA
