study	n1	t_thr	avgAge	Age2	Age3	genhaoAge	experiment_design	performance	Adult_minus_ChildOlder	Child_minus_AdultOlder	Older_minus_AdultChild	Adult_Child	Adult_Older	Child_Older	filter_AdultChild	filter_AdultOlder	filter_ChildOlder	filter_Child	filter_Adult	filter_Old	filter_unp_Chinese	filter_performance	filter_ChildOlder_performance	filter_AdultOlder_performance	filter_AdultChild_performance	performance2	SRC_old	up_Chinese	SRC	SRC_imp_median	SRCcode	SRCcode_z
Aarts2008_adults	12	4.0247	21.2	449.44	9528.128	4.604345773	1	9999	1	-1	-1	1	1	0	1	1	0	0	1	0	1	0	0	0	0	NA	NA	1	94.85	94.85	0	-0.288759745
Adleman2002_adults	11	1.8125	19.98	399.2004	7976.023992	4.469899328	1	9999	1	-1	-1	1	1	0	1	1	0	0	1	0	1	0	0	0	0	NA	NA	1	NA	66	1	3.43624096
Andrews-Hanna2011_children	32	2.744	15.6	243.36	3796.416	3.949683532	0	0.105978261	-1	1	-1	-1	0	1	1	0	1	1	0	0	1	1	1	0	1	0.105978261	78	1	78	78	0	-0.288759745
Ansari2006_adults	14	5.1106	21	441	9261	4.582575695	1	0.043956044	1	-1	-1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0.043956044	38.4	1	38.4	38.4	0	-0.288759745
Balodis2013_adults	35	4.29	38.4	1474.56	56623.104	6.196773354	1	0.302731317	1	-1	-1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0.302731317	218.46	1	218.46	218.46	0	-0.288759745
Barros-Loscertales2011_adults	16	3.7328	34.2	1169.64	40001.688	5.848076607	0	0.086259781	1	-1	-1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0.086259781	55.12	1	55.12	55.12	0	-0.288759745
Basten2011_adults	46	3.2815	22.3	497.29	11089.567	4.722287581	1	0.078953985	1	-1	-1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0.078953985	48.67	1	48.67	48.67	0	-0.288759745
Bernal2009_children	18	2.5669	14.67	215.2089	3157.114563	3.8301436	0	9999	-1	1	-1	-1	0	1	1	0	1	1	0	0	1	0	0	0	0	NA	NA	1	NA	77.08	1	3.43624096
Brass2005_adults	20	3.5794	26	676	17576	5.099019514	1	9999	1	-1	-1	1	1	0	1	1	0	0	1	0	1	0	0	0	0	NA	NA	1	163.1	163.1	0	-0.288759745
Bunge2002_adults	10	10.7202	27	729	19683	5.196152423	1	0.061538462	1	-1	-1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0.061538462	25	1	23	23	0	-0.288759745
Bunge2002_children	16	3.7328	10	100	1000	3.16227766	1	9999	-1	1	-1	-1	0	1	1	0	1	1	0	0	1	0	0	0	0	NA	NA	1	44	44	0	-0.288759745
Bush1998_adults	9	6.442	24.2	585.64	14172.488	4.91934955	0	0.48657188	1	-1	-1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0.48657188	46	1	46	46	0	-0.288759745
Bush2003_adults	8	NA	30	900	27000	5.477225575	0	0.067055394	1	-1	-1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0.067055394	308	1	308	308	0	-0.288759745
Cao2006_children	14	3.852	11.5	132.25	1520.875	3.391164992	1	0.102585841	-1	1	-1	-1	0	1	1	0	1	1	0	0	1	1	1	0	1	0.102585841	121	1	121	121	0	-0.288759745
Carp2012_adults	21	2.8453	39.8	1584.04	63044.792	6.308724118	1	0.3223164	1	-1	-1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0.3223164	283.3	1	237.3	237.3	0	-0.288759745
Carp2012_children	18	2.8453	14	196	2744	3.741657387	1	9999	-1	1	-1	-1	0	1	1	0	1	1	0	0	1	0	0	0	0	NA	NA	1	283.3	283.3	0	-0.288759745
Carter1995_adults	15	2.9768	34.3	1176.49	40353.607	5.856620186	1	0.113609745	1	-1	-1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0.113609745	97	1	97	97	0	-0.288759745
chenqi2022_adults	41	1.6839	21.29	453.2641	9649.992689	4.614108798	1	0.071295557	1	-1	-1	1	1	0	1	1	0	0	1	0	0	1	0	1	1	0.071295557	67	-1	67	67	0	-0.288759745
Christensen2011_adults	26	2.7874	25.9	670.81	17373.979	5.08920426	1	9999	1	-1	-1	1	1	0	1	1	0	0	1	0	1	0	0	0	0	NA	NA	1	38.5	38.5	0	-0.288759745
Chuang2014_olders	60	2.3912	64.6	4173.16	269586.136	8.037412519	1	9999	-1	-1	1	0	-1	-1	0	1	1	0	0	1	1	0	0	0	0	NA	NA	1	60.75	60.75	0	-0.288759745
Cieslik2010_adults	24	1.7139	29	841	24389	5.385164807	1	9999	1	-1	-1	1	1	0	1	1	0	0	1	0	1	0	0	0	0	NA	NA	1	62.75	62.75	0	-0.288759745
Coderre2008_adults	9	2.917	36	1296	46656	6	0	0.154979134	1	-1	-1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0.154979134	94.7	1	94.7	94.7	0	-0.288759745
cuilong2011_adults_g1	10	3.2498	21	441	9261	4.582575695	1	0.161904762	1	-1	-1	1	1	0	1	1	0	0	1	0	0	1	0	1	1	0.161904762	136	-1	136	136	0	-0.288759745
cuilong2011_adults_g2	10	3.2498	22.4	501.76	11239.424	4.732863826	1	0.165605096	1	-1	-1	1	1	0	1	1	0	0	1	0	0	1	0	1	1	0.165605096	143	-1	143	143	0	-0.288759745
Dash2019_olders	18	NA	73.94	5467.1236	404239.119	8.598837131	1	0.04727407	-1	-1	1	0	-1	-1	0	1	1	0	0	1	1	1	1	1	0	0.04727407	40.98	1	40.98	40.98	0	-0.288759745
deKieviet2014_children	47	NA	8.7	75.69	658.503	2.949576241	0	0.191570881	-1	1	-1	-1	0	1	1	0	1	1	0	0	1	1	1	0	1	0.191570881	150	1	150	150	0	-0.288759745
DeVito2012_adults	12	4.0247	31	961	29791	5.567764363	1	0.226018621	1	-1	-1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0.226018621	1323	1	1323	1323	0	-0.288759745
Durston2003_adults	9	5.6174	25.7	660.49	16974.593	5.069516742	1	0.113074205	1	-1	-1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0.113074205	64	1	64	64	0	-0.288759745
Fan2003_adults	12	2.1743	24.7	610.09	15069.223	4.969909456	1	0.080352229	1	-1	-1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0.080352229	140	1	140	140	0	-0.288759745
Fan2007_adults	19	2.5524	26	676	17576	5.099019514	1	0.194444444	1	-1	-1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0.194444444	55	1	55	55	0	-0.288759745
Fan2008_adults	16	2.6025	27.2	739.84	20123.648	5.215361924	1	0.131596091	1	-1	-1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0.131596091	101	1	101	101	0	-0.288759745
Fan2014_children	23	1.7171	11.2	125.44	1404.928	3.346640106	1	0.088924818	-1	1	-1	-1	0	1	1	0	1	1	0	0	1	1	1	0	1	0.088924818	73	1	73	73	0	-0.288759745
Fechir2010_adults	16	5.61	23.8	566.44	13481.272	4.878524367	0	0.108732744	1	-1	-1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0.108732744	70.1	1	70.1	70.1	0	-0.288759745
Fernandez2019_olders	34	1.6924	72.7	5285.29	384240.583	8.526429499	1	9999	-1	-1	1	0	-1	-1	0	1	1	0	0	1	1	0	0	0	0	NA	NA	1	148.6	148.6	0	-0.288759745
Forstmann2008_adults	24	3.4846	24.2	585.64	14172.488	4.91934955	0	0.042381433	1	-1	-1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0.042381433	21	1	21	21	0	-0.288759745
Fruhholz2011_adults	24	3.485	23.91	571.6881	13669.06247	4.889785271	0	0.097972973	1	-1	-1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0.097972973	58	1	58	58	0	-0.288759745
Gee2022_children	40	1.6849	12.93	167.1849	2161.700757	3.595830919	0	9999	-1	1	-1	-1	0	1	1	0	1	1	0	0	1	0	0	0	0	NA	NA	1	195.04	195.04	0	-0.288759745
George1994_adults	21	2.528	38.4	1474.56	56623.104	6.196773354	1	9999	1	-1	-1	1	1	0	1	1	0	0	1	0	1	0	0	0	0	NA	NA	1	192	192	0	-0.288759745
Georgiou-Karistianis2012_adults	13	2.681	33.7	1135.69	38272.753	5.805170109	1	9999	1	-1	-1	1	1	0	1	1	0	0	1	0	1	0	0	0	0	NA	NA	1	58	58	0	-0.288759745
Gianaros2007_olders	46	NA	68.04	4629.4416	314987.2065	8.248636251	0	9999	-1	-1	1	0	-1	-1	0	1	1	0	0	1	1	0	0	0	0	NA	NA	1	18.07	18.07	0	-0.288759745
Gordon2015_olders	71	1.6669	63.5	4032.25	256047.875	7.968688725	1	0.117794486	-1	-1	1	0	-1	-1	0	1	1	0	0	1	1	1	1	1	0	0.117794486	94	1	94	94	0	-0.288759745
Grandjean2013_adults	25	5.6082	21.8	475.24	10360.23	4.669047012	0	9999	1	-1	-1	1	1	0	1	1	0	0	1	0	1	0	0	0	0	NA	NA	1	182.05	182.05	0	-0.288759745
Halari2009_children	21	2.528	16.3	265.69	4330.747	4.037325848	1	9999	-1	1	-1	-1	0	1	1	0	1	1	0	0	1	0	0	0	0	NA	NA	1	94	94	0	-0.288759745
Hansen2018_children	171	3.1389	16.2	262.44	4251.528	4.024922359	0	9999	-1	1	-1	-1	0	1	1	0	1	1	0	0	1	0	0	0	0	NA	NA	1	NA	77.08	1	3.43624096
